,Residential Building Permits ($ 000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGC Code,,03-Jan,03-Feb,03-Mar,03-Apr,03-May,03-Jun,03-Jul,03-Aug,03-Sep,03-Oct,03-Nov,03-Dec,04-Jan,04-Feb,04-Mar,04-Apr,04-May,04-Jun,04-Jul,04-Aug,04-Sep,04-Oct,04-Nov,04-Dec,05-Jan,05-Feb,05-Mar,05-Apr,05-May,05-Jun,05-Jul,05-Aug,05-Sep,05-Oct,05-Nov,05-Dec,06-Jan,06-Feb,06-Mar,06-Apr,06-May,06-Jun,06-Jul,06-Aug,06-Sep,06-Oct,06-Nov,06-Dec,07-Jan,07-Feb,07-Mar,07-Apr,07-May,07-Jun,07-Jul,07-Aug,07-Sep,07-Oct,07-Nov,07-Dec,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr,24-May,24-Jun,24-Jul,24-Aug,24-Sep,24-Oct,24-Nov,24-Dec,25-Jan
5,Canada,"1,737,237","1,637,222","2,649,921","2,869,753","3,278,123","3,231,775","3,155,311","2,671,740","3,057,465","2,919,850","2,656,049","2,106,972","1,855,506","1,918,442","3,308,349","3,612,441","3,481,989","4,318,517","3,413,046","3,322,562","3,121,148","3,119,440","3,025,066","2,336,942","1,750,881","2,232,113","3,117,471","3,634,975","3,969,082","3,955,571","3,356,552","3,427,278","3,387,214","3,424,400","2,994,758","3,493,409","2,165,290","2,316,309","3,598,450","3,503,612","4,232,351","4,066,643","3,668,879","4,031,447","3,531,439","3,900,442","3,507,081","2,530,814","2,719,824","2,138,039","3,741,448","3,984,274","4,861,148","4,755,427","4,224,528","4,186,443","4,023,853","4,408,380","3,613,655","2,890,457","2,315,797","2,932,970","3,326,345","4,573,650","4,522,807","4,188,113","4,233,463","3,553,798","3,506,580","3,295,536","2,472,696","1,956,663","1,222,589","1,412,887","2,149,084","2,627,445","3,257,290","3,391,123","3,152,397","3,216,595","3,721,552","3,893,383","3,729,876","2,933,862","2,474,888","2,433,018","4,133,736","4,290,214","4,415,371","4,358,504","3,815,690","3,764,707","4,115,891","3,638,491","3,070,269","2,960,524","2,363,150","2,064,935","4,130,579","3,821,619","4,578,065","4,557,187","4,176,720","3,943,079","3,855,072","3,773,991","3,769,407","3,445,206","2,896,855","2,931,457","4,005,292","4,179,392","5,191,107","5,237,756","4,739,677","4,516,597","4,429,633","4,358,479","3,620,388","2,301,720","2,686,031","2,556,817","3,493,875","4,832,901","5,545,227","4,513,227","4,698,039","4,151,978","4,411,800","4,850,942","3,907,406","2,761,246","3,431,980","2,680,380","3,585,652","4,153,260","5,012,435","4,935,867","5,553,177","4,233,333","4,937,902","4,959,285","4,093,511","3,414,821","2,826,719","2,958,382","4,395,151","4,929,588","4,694,680","5,489,275","5,671,322","4,793,999","4,661,889","5,487,338","3,734,169","3,707,464","2,524,417","2,860,763","4,180,331","5,041,483","5,133,033","5,058,801","4,739,976","4,993,818","5,245,184","6,384,023","4,957,762","4,020,014","3,507,738","3,564,224","4,794,456","4,424,535","6,365,135","6,451,454","5,660,361","5,511,418","5,147,374","5,601,807","4,666,876","3,996,698","4,063,749","3,772,228","4,922,624","5,341,330","6,829,125","6,593,340","5,940,374","5,299,180","5,017,009","5,823,003","4,804,142","4,437,273","4,272,880","3,310,610","4,446,372","5,792,647","6,457,605","5,987,666","5,965,479","6,439,542","5,285,339","5,545,139","4,190,118","4,419,231","4,660,665","3,819,689","4,285,018","3,947,394","6,145,012","6,948,268","6,136,995","6,290,465","6,587,502","6,774,569","5,990,962","5,585,193","5,851,492","4,979,268","8,490,265","8,057,218","7,589,053","8,794,013","7,759,924","6,802,375","7,403,249","7,256,660","7,730,426","6,681,573","5,046,342","5,507,310","8,728,365","8,110,157","9,115,687","10,577,250","7,938,498","8,909,047","7,089,382","5,790,143","7,161,183","5,657,447","4,249,864","4,754,273","7,716,092","6,137,067","8,278,652","10,143,833","7,642,659","7,314,360","7,999,459","6,753,630","7,298,637","4,273,478","4,537,706","5,435,641","6,718,557","9,932,505","9,027,110","7,910,674","8,559,424","7,445,814","8,349,674","7,909,176","7,156,606","7,739,876","6,277,350"
59,British Columbia,"255,119","227,722","444,372","348,785","431,069","425,081","465,648","378,887","472,065","403,741","292,446","369,250","403,870","410,373","483,197","463,455","507,243","931,266","520,985","439,313","508,148","431,259","469,760","300,068","352,600","416,451","592,433","582,744","627,140","628,351","564,315","720,794","623,864","749,531","476,407","644,332","390,469","430,381","758,367","553,102","675,205","795,194","637,914","708,461","688,331","646,337","825,452","511,483","644,303","439,689","736,685","711,041","1,032,349","880,190","784,716","723,785","603,024","871,904","574,307","609,730","565,041","678,097","644,423","758,577","724,060","704,598","690,671","695,173","599,479","423,971","282,177","133,022","128,572","272,868","237,755","264,585","305,432","378,770","446,918","381,504","529,876","500,770","493,433","550,592","402,573","408,554","675,942","497,252","536,758","682,310","566,598","696,025","783,271","796,744","349,684","310,177","370,085","386,829","475,928","525,513","516,413","676,886","545,792","634,072","508,948","485,159","596,946","390,835","379,402","465,660","526,610","511,015","738,601","738,381","778,248","618,922","544,511","501,104","516,173","393,294","487,109","426,653","470,475","737,980","655,096","619,111","601,161","662,129","520,138","583,718","675,603","429,020","577,228","418,830","544,750","483,265","661,839","595,835","839,789","655,375","705,840","786,385","561,741","516,763","474,601","627,279","909,084","711,895","781,488","830,577","1,121,259","794,483","733,376","809,860","777,995","836,734","590,091","617,051","837,866","1,011,867","955,432","782,844","795,398","1,021,852","757,733","894,381","1,047,438","551,358","608,124","928,711","795,775","783,023","1,132,111","1,123,571","1,298,655","1,050,376","1,012,797","1,018,130","737,976","1,009,113","855,994","957,165","1,098,679","966,559","1,367,669","1,446,543","1,220,249","1,435,494","920,749","1,218,813","893,984","1,159,407","928,677","768,234","890,515","1,901,099","915,235","1,125,032","1,023,476","1,611,322","915,919","1,003,723","683,701","1,141,384","1,581,295","603,108","564,198","793,848","1,081,844","1,774,620","883,634","782,322","869,732","809,990","865,694","1,057,407","890,245","1,193,263","1,510,245","1,000,902","910,817","1,212,516","1,351,806","1,185,327","1,157,885","1,053,942","1,561,152","1,360,435","741,287","1,241,402","1,964,858","1,517,351","1,798,975","1,974,075","1,750,063","1,572,095","1,340,458","1,248,549","1,490,639","1,468,295","715,151","800,885","1,842,956","1,293,639","1,540,372","2,712,148","1,076,111","1,010,017","2,024,103","1,133,503","1,030,389","911,559","779,318","1,080,722","1,602,158","2,884,850","926,057","806,714","1,557,985","1,076,729","1,156,813","1,194,397","691,814","1,639,220","1,176,614"
Development Region, Vancouver Island/Coast DR,"37,451","42,199","49,784","48,721","72,276","60,389","56,907","49,939","65,790","53,801","47,410","59,006","47,104","63,385","71,308","87,010","86,140","79,620","71,144","70,661","75,897","67,322","72,333","67,910","63,096","93,143","83,167","77,743","118,987","95,296","75,389","91,261","79,607","90,252","69,371","96,202","70,066","84,701","120,701","104,918","91,678","105,419","143,316","132,829","85,536","144,090","67,448","76,469","76,800","77,358","171,477","127,675","138,008","139,082","97,941","99,446","117,555","101,502","100,023","69,334","86,909","103,794","104,364","120,609","125,070","115,108","125,502","142,178","104,025","65,184","45,848","23,404","29,935","38,127","44,295","50,801","58,446","75,043","65,570","82,766","78,180","81,128","86,499","93,088","91,969","85,193","119,859","95,676","88,477","102,155","88,824","73,722","70,659","88,633","58,125","51,123","51,959","64,652","69,774","61,649","87,259","122,194","106,011","105,323","71,641","56,351","70,903","42,948","55,781","84,705","74,988","80,112","83,064","72,493","61,847","68,813","63,748","78,967","57,945","40,694","63,312","32,383","56,539","58,791","56,869","70,315","88,525","77,235","63,222","68,461","42,258","44,495","50,718","47,661","70,849","57,826","92,783","71,052","95,592","76,281","99,921","91,941","66,112","87,095","74,628","74,777","91,066","98,437","72,645","96,300","128,684","88,394","90,390","80,382","71,798","112,627","69,593","109,991","103,102","131,240","103,719","140,843","121,864","147,304","140,476","126,576","111,446","91,665","100,038","103,450","143,028","126,485","162,205","183,983","210,084","160,468","121,298","178,299","97,511","134,325","180,640","145,857","156,570","171,462","233,697","312,901","156,289","98,850","171,954","158,923","136,973","95,301","167,840","89,755","176,042","197,170","133,282","184,458","118,722","176,743","193,155","128,624","151,741","164,844","145,563","143,351","145,135","130,853","134,936","149,015","158,634","106,244","161,798","139,596","225,898","174,335","198,473","219,730","203,322","198,589","181,560","317,387","321,419","191,525","200,078","181,844","234,034","155,741","180,824","181,752","287,627","250,184","249,147","320,000","332,847","298,650","206,918","182,871","180,051","135,918","126,320","190,629","279,267","178,177","185,714","276,701","166,219","139,714","264,678","221,805","229,316","196,445","134,922","151,673","139,617","290,456","213,567","156,096","305,799","269,279","206,423","186,679","182,568","181,468","113,096"
5923,  Alberni-Clayoquot RD,612,619,"1,438",562,"2,567",843,950,890,"1,896",608,503,"1,212",433,941,"1,045","3,579","2,201","1,863","1,343","3,918","4,036",980,665,162,"3,929","1,821","1,453","3,380","2,704","2,249","2,535","3,216","2,466","2,730",891,224,"2,108","2,615","2,272","7,274","2,580","6,229","2,742","8,820","2,793","2,006","1,424","2,865","1,149","1,364","3,349","2,091","5,224","4,661","3,503","1,539","2,577","3,908","2,010",917,571,"4,623","2,187","4,271","2,016","6,308","3,666","3,831","4,085",950,940,637,17,539,"1,072","3,054","4,265","2,758","3,774","2,435","2,586","2,822","1,021",924,"3,585","2,710","3,561","4,588","6,411","5,040","4,722","2,678","1,409","2,560","1,315",705,"1,192","1,649","1,937","2,731","2,342","4,249","2,150","1,908","1,657",860,"1,673",976,705,"1,170",843,757,"3,722","2,880","1,330","2,764",799,"3,470","1,136","1,726",823,815,"1,390","1,251","1,772","1,708",663,"1,268","2,485","2,166","2,030","1,351","1,209",732,"2,148","1,209","1,360","1,663","2,480","1,529","1,729","2,061","2,248","1,413","1,034","1,932","1,251","2,146",591,"1,277","3,341","1,763",985,"2,286","2,165",508,"2,113","2,943","3,829","1,075","1,431","3,586","3,003","3,171","2,003","3,275","4,691","1,645","3,159","1,993","3,172","2,145","2,013","1,717","5,306","4,117","3,893","3,022","2,337",363,"3,495","1,777","1,923","2,744","4,307","2,963","4,675","6,674","1,972","2,800","3,392","1,493","3,696","2,149","2,288","1,788","3,814","2,722","2,091","6,184","3,443","15,593","13,861","2,371","1,407","4,592","1,557","1,794","3,250","4,162","1,946","2,786","3,141","16,062","5,961","2,578","2,304","4,897","7,616","15,655","5,178","5,787","11,346","2,581","3,200","8,355","6,871","2,108","2,169","4,505","6,138","6,349","4,788","34,548","5,246","17,649","22,693","4,319","12,264","2,637","1,869","3,422","6,007","1,981","4,701","3,494","2,365","6,184","2,490","4,711","4,579","4,169","4,290",707,"3,325","10,890","6,286","4,701","2,969","7,571","2,907","1,207","2,843","4,221","2,002"
5923000,"    Alberni-Clayoquot, RDR",10,356,535,155,925,176,579,179,499,308,0,222,353,202,"1,039",614,778,691,438,"1,232",840,215,299,73,"2,809",593,666,796,"1,497","1,304","1,140","1,201",990,370,395,159,"1,335",614,908,677,"1,074","2,243","2,063",940,"1,887",856,75,"1,252",359,454,602,547,"2,481","2,037","2,160",400,"1,319","2,639",652,587,83,"1,970",402,508,"1,093","2,956",874,"2,547","1,296",833,289,70,0,8,318,"1,126","1,532","1,489","1,274","1,319",948,714,256,0,413,"1,726",859,"1,509",827,"3,124","2,492",761,"1,028",669,377,164,163,309,"1,239","1,499",834,"1,814",654,"1,070",244,498,11,532,185,505,17,76,588,"1,836",282,"1,381",123,"1,012",354,494,500,735,538,293,"1,360",141,207,547,438,799,48,316,510,483,850,306,369,"1,113","1,216",475,278,217,465,520,9,38,688,703,122,713,"1,592",975,124,731,934,274,159,310,"1,690",782,0,"1,433","1,955",995,"1,283",952,78,430,"1,056",93,"1,401",858,444,946,"2,189","2,978",718,"1,026",187,63,"1,303",196,732,715,"1,494","1,379","2,034","1,231",232,950,"1,231",391,"1,508","1,100",250,808,630,837,694,"2,506",873,664,638,"1,073",349,"1,654",353,556,740,"1,072",514,594,737,"1,138","2,749",745,90,432,"1,006",856,"1,233","2,875",897,849,610,"1,543",138,"1,075","1,166","2,031","1,959","1,936","2,976","3,196",639,946,"2,868","2,668","2,911","1,129","1,461",110,"2,674",829,"2,864","1,501","1,021","4,041","1,638","1,212",150,"2,169","1,725",359,651,510,"4,547","2,665",593,"3,412","1,304",650,"1,018","1,494",976
5923008,"    Port Alberni, C",300,21,123,274,192,524,206,116,20,209,121,130,0,271,0,"1,134",232,503,151,563,"1,541",489,141,89,0,763,174,"1,505",802,195,923,658,"1,116","1,669",83,0,197,669,357,"5,538",486,10,389,"1,212",699,379,977,"1,076",543,424,"1,974","1,368","1,430",883,453,493,"1,103",516,"1,357",25,132,"2,372",356,"3,505",628,"2,769","1,822",539,"1,348",73,650,567,17,520,605,"1,501",904,615,699,634,563,"1,832",731,562,"1,751",837,"1,521","2,059","5,121","1,916","1,471",869,176,953,489,534,413,306,59,723,"1,160","1,874",946,763,875,69,"1,163",0,281,665,598,195,862,633,"1,048",833,321,"1,529",523,715,299,0,537,844,390,"1,223",249,46,446,"1,303","1,366",921,667,249,"1,164",37,541,48,"1,264",492,869,"1,526","1,428",0,"1,025",284,246,"1,126",317,247,273,485,348,815,0,0,660,913,"1,341",281,"1,121","1,224",760,"1,716",351,"1,685",215,673,932,"1,574","1,658","1,021",0,0,231,0,"1,236",327,"1,114",0,"1,330",466,342,766,970,"1,068","1,024","4,483","1,040",872,"1,064","1,029","1,159",2,"1,184",723,"1,730",735,652,"2,206","1,911","10,598","10,868",642,"1,058",587,33,"1,060",510,"1,283","1,044","1,279","2,399","13,530","1,322","1,238",834,878,"5,418","13,367","2,784","1,449","2,653",900,"2,215","3,650","4,528",650,710,"1,671","2,549","2,465",945,"27,663","3,532","7,187","17,059","1,640","8,667","1,508",408,"2,159",705,15,"1,244","1,864",554,473,14,"2,450","2,415",412,"1,214",64,"1,364","10,032",743,"1,624","1,696","3,597","1,503",444,"1,605","1,856",320
5923025,"    Tofino, DM",302,242,780,133,"1,450",133,165,595,"1,377",63,382,860,80,468,6,"1,747","1,191",609,754,"2,123",395,276,225,0,755,335,0,"1,048",405,502,226,962,0,77,413,65,0,782,0,511,526,587,290,634,185,455,161,515,247,0,773,176,487,618,890,216,0,490,1,305,356,201,545,1,295,1,756,540,325,1,1,0,0,1,128,196,"1,030",0,"1,801",239,450,5,29,10,"1,233",0,841,820,44,0,756,347,200,510,369,0,206,363,611,459,348,549,550,0,334,293,65,10,239,0,228,263,"2,270",411,0,275,355,670,0,517,24,80,315,114,0,29,207,645,828,64,398,114,32,0,128,677,159,283,0,123,319,318,355,893,0,"1,026",0,0,0,317,899,0,61,740,"1,231",215,"1,058",836,798,12,310,404,288,240,369,638,"4,398",542,"1,171",326,113,266,722,159,496,491,"1,361",892,610,300,862,862,448,862,"1,070",513,772,315,55,400,574,73,841,308,0,54,956,86,745,950,659,"3,385",750,50,0,"1,770",899,58,844,774,388,512,0,720,736,321,242,"3,183",344,"1,262",202,147,"6,569",812,43,416,682,330,293,703,655,84,662,450,0,"7,872","1,547",0,15,0,0,369,"1,948",725,565,18,737,"1,008",740,392,505,"1,390",819,285,766,342,623,0,0,0,100,13,121,845,216
5923019,"    Ucluelet, DM",0,0,0,0,0,10,0,0,0,28,0,0,0,0,0,84,0,60,0,0,"1,260",0,0,0,365,130,613,31,0,248,246,395,360,614,0,0,576,550,"1,007",548,494,"3,389",0,"6,034",22,316,211,22,0,486,0,0,826,"1,123",0,430,155,263,0,0,0,80,884,257,0,582,214,205,"1,116",43,0,0,0,10,21,231,799,654,0,243,625,271,5,352,188,147,340,200,419,0,3,701,5,428,80,7,410,671,28,50,0,12,0,75,204,0,434,434,0,0,0,223,2,0,0,275,0,259,259,0,0,0,0,0,22,315,0,30,773,0,218,0,0,0,6,189,291,219,0,439,263,0,0,0,0,584,317,317,152,0,577,303,452,0,0,19,236,884,0,0,0,525,0,220,0,0,0,0,0,0,0,0,847,612,"2,390",648,578,777,426,0,0,253,401,401,773,3,845,645,645,578,523,0,188,739,854,203,498,"1,064",0,522,0,946,"1,605",606,0,581,272,120,"1,156","1,033",0,401,5,674,"1,154",274,"1,138",404,848,170,959,"1,316","1,227",20,332,"2,746","1,523",53,0,100,976,"1,864",205,"3,239","1,075","1,644","1,219",11,670,0,0,784,681,412,29,111,52,662,98,657,"1,509",199,532,0,544,6,372,412,681,563,0,100,100,26,489
5917,  Capital RD,"19,226","20,754","20,717","25,759","42,324","30,887","29,118","27,571","34,847","21,805","23,904","36,228","22,155","34,583","33,306","33,171","47,171","29,755","33,256","23,004","34,725","38,041","34,035","38,105","18,402","51,596","47,188","30,800","61,271","45,789","22,260","39,656","31,337","35,839","24,612","25,081","31,785","44,207","43,200","50,372","41,069","42,140","71,488","63,025","37,350","67,539","34,951","23,661","42,091","43,427","113,860","70,662","62,176","79,003","41,346","44,748","68,218","38,694","46,618","17,091","43,336","41,951","48,661","49,443","57,689","59,556","64,599","97,526","32,769","30,025","18,588","12,147","19,309","15,325","20,796","23,557","22,671","36,638","31,590","42,827","36,380","39,402","54,730","51,454","47,816","36,260","48,384","44,179","41,796","52,300","43,147","30,910","28,982","54,266","30,565","31,755","30,259","40,235","26,880","28,385","46,302","60,921","47,122","33,028","36,936","22,008","32,182","15,361","32,282","58,344","40,619","45,352","42,618","34,320","30,320","28,403","32,098","40,692","36,761","21,211","39,976","14,528","29,394","25,491","25,026","37,208","54,324","32,041","34,721","28,597","19,727","17,659","20,157","17,541","33,308","27,430","54,805","27,549","42,843","36,432","55,357","50,750","31,712","50,654","28,855","42,284","54,527","52,564","34,668","55,502","83,097","48,544","46,201","36,669","38,414","74,218","39,216","64,874","62,598","75,224","52,878","76,610","68,657","77,957","61,226","65,975","54,653","51,072","57,060","54,162","73,610","79,451","94,103","112,569","148,911","97,291","56,713","121,834","40,210","72,119","128,283","94,082","82,698","90,553","159,604","219,977","76,563","45,625","112,262","79,919","76,857","48,858","94,356","37,774","98,753","54,406","59,611","81,130","57,357","93,817","107,355","55,967","72,818","72,259","93,679","90,002","103,165","48,967","69,790","99,951","49,201","44,303","66,033","62,535","83,859","110,597","120,820","153,786","106,469","101,517","99,357","194,799","214,800","110,443","85,612","103,242","147,219","81,021","81,800","92,556","189,414","136,014","136,334","143,649","242,976","191,438","131,693","135,776","85,028","72,288","75,034","132,491","137,462","122,814","123,081","143,759","101,134","70,375","211,206","151,865","109,750","88,748","98,692","87,776","93,176","204,350","154,269","75,109","268,343","183,796","129,582","94,864","89,274","142,795","72,130"
