,Commercial Building Permits ($ 000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5,Canada,"616,043","494,382","685,036","854,873","876,495","913,631","897,473","750,965","848,547","921,190","716,173","748,582","520,296","605,353","618,386","777,114","842,823","1,241,002","925,887","975,495","931,314","999,405","919,664","780,368","665,935","706,855","1,069,629","991,909","994,519","1,225,410","897,468","1,213,850","1,218,808","1,070,488","992,942","926,190","688,987","755,713","1,078,839","1,040,875","1,409,209","1,290,684","1,199,160","1,385,839","1,214,180","1,677,686","1,442,715","1,247,059","1,086,445","863,023","1,421,342","1,300,871","2,147,271","1,825,990","1,231,002","1,555,025","1,381,099","1,828,080","1,155,444","1,170,888","1,099,807","1,013,120","1,199,571","1,768,026","1,778,562","1,652,810","1,492,636","1,429,799","1,672,462","1,421,472","1,094,316","1,058,168","923,093","801,329","1,400,955","1,167,380","1,199,658","1,436,084","1,058,828","1,111,943","1,067,151","1,219,877","1,164,898","1,294,031","767,454","966,397","1,167,423","1,640,149","1,098,747","1,712,637","1,268,516","1,105,532","1,684,618","1,735,337","1,272,791","939,782","758,827","1,003,360","1,174,010","1,045,545","2,003,830","1,788,082","1,660,017","1,476,875","1,433,515","1,277,190","1,165,230","1,487,785","1,052,246","1,094,145","1,596,049","1,625,303","1,383,201","1,752,089","1,664,328","1,553,148","1,452,776","1,556,691","1,727,588","1,484,050","1,102,296","1,280,827","1,224,884","1,485,296","1,527,057","1,480,455","2,678,796","1,435,056","1,551,921","2,042,884","1,940,289","1,179,715","1,283,876","1,237,142","1,507,032","1,216,081","1,891,475","1,870,283","1,951,546","1,535,956","1,758,593","1,692,640","1,236,557","1,347,107","1,127,010","986,526","1,353,485","1,388,977","1,634,039","1,649,529","1,819,047","1,671,131","1,623,168","1,488,468","1,076,958","1,193,785","889,371","1,649,036","1,465,860","1,450,038","1,345,144","1,528,798","1,511,131","2,029,600","1,289,646","1,724,754","1,413,299","1,081,113","1,021,750","1,262,045","1,355,398","1,190,123","1,699,932","2,213,962","1,648,281","1,702,715","1,386,329","1,960,155","1,588,072","1,202,629","1,338,287","1,306,732","1,609,545","1,589,024","1,816,933","2,109,868","1,799,017","1,956,197","1,590,270","2,187,897","2,155,912","2,132,900","1,358,762","1,299,217","2,030,998","1,897,571","2,089,546","2,280,875","2,300,129","1,990,858","1,972,142","2,518,206","1,591,313","2,101,493","1,678,277","1,440,353","1,435,455","1,044,536","1,364,884","1,477,132","2,000,987","1,324,512","2,159,446","1,335,446","1,641,960","1,579,825","1,259,777","1,466,875","1,288,477","1,833,359","1,604,381","1,997,060","1,818,453","1,985,270","2,201,505","1,925,556","2,245,643","2,075,895","1,316,825","1,953,691","1,916,952","1,735,328","2,032,216","2,411,215","2,298,440","2,389,339","1,896,491","2,053,644","2,250,796","2,034,645","1,755,934","1,631,761","2,716,717","1,198,766","2,403,376","2,869,835","1,908,943","2,449,622","2,040,986","1,864,336","1,731,021","1,583,417","1,945,847","1,832,032","2,317,537","2,347,950","2,430,305","2,108,137","2,408,758","2,476,778","2,287,095","2,132,948","1,885,357","1,518,399","1,766,414"
59,British Columbia,"82,040","47,297","70,749","103,047","103,919","106,703","131,182","98,753","125,227","86,520","93,824","80,362","107,773","68,343","84,556","96,061","94,662","183,830","78,358","132,967","116,952","84,135","77,179","103,211","91,512","125,069","257,888","185,069","170,558","206,277","123,334","177,257","191,805","118,634","109,256","129,746","111,609","120,049","209,159","173,687","232,715","214,970","246,362","214,893","156,534","395,782","283,389","134,535","199,715","251,644","235,027","220,337","292,370","345,228","177,724","257,304","118,621","190,997","157,780","201,158","127,928","111,289","208,688","322,737","359,813","264,177","168,559","177,843","234,580","308,337","231,230","108,328","120,188","225,528","118,587","74,736","164,251","128,193","126,135","222,177","130,899","117,971","183,203","145,324","99,990","106,569","123,228","130,664","118,256","134,016","215,398","107,413","208,398","229,478","175,037","138,545","85,871","104,288","288,050","151,791","235,457","183,075","225,339","155,651","117,010","90,743","119,818","213,478","190,817","161,626","136,020","215,565","158,646","148,288","259,724","208,858","362,934","193,505","135,768","123,058","88,872","144,784","142,836","138,501","114,930","227,053","173,753","165,365","174,704","236,120","196,074","93,787","128,976","220,758","140,650","136,645","168,246","233,392","216,029","122,991","127,997","390,501","127,498","199,331","97,205","123,163","283,515","218,398","144,432","260,053","218,490","217,429","194,186","154,147","160,493","235,110","150,223","274,184","217,112","188,672","177,215","188,879","195,089","161,286","105,134","207,999","150,923","144,559","171,509","173,428","166,958","191,576","214,475","214,926","194,931","216,113","166,340","312,017","225,645","191,705","244,751","194,973","353,165","146,850","211,990","230,126","194,678","467,386","258,292","245,464","565,360","651,519","236,260","250,657","711,745","459,226","367,762","177,492","406,834","359,883","537,744","194,591","278,262","199,154","263,442","253,728","267,003","117,145","128,296","339,309","358,889","314,011","212,873","219,984","218,216","374,037","189,334","244,655","226,621","269,228","182,499","196,240","247,382","288,346","269,158","264,812","217,429","509,112","175,399","197,244","442,757","278,606","534,004","393,000","336,869","306,258","410,757","444,983","191,253","451,555","276,623","205,845","851,807","114,831","272,522","532,768","208,833","519,450","328,925","243,820","251,685","266,588","344,111","422,524","293,907","640,661","301,345","468,034","470,338","296,541","148,183","207,199","252,693","268,827","235,684"
Development Region, Vancouver Island/Coast DR,"17,001","11,452","12,490","13,575","13,962","31,945","19,672","20,428","32,669","4,581","19,643","5,129","11,128","8,348","15,914","11,981","9,755","14,699","8,053","9,839","15,818","6,160","13,762","13,663","8,770","9,462","14,829","26,192","15,085","18,792","20,107","22,357","48,618","42,168","21,695","9,295","13,983","8,658","22,945","19,285","19,731","22,885","75,459","14,128","32,514","21,009","19,121","12,037","15,597","16,674","8,057","17,380","30,619","24,653","27,723","19,101","7,584","12,864","9,670","39,512","19,113","20,062","14,988","19,031","15,740","21,369","26,382","29,128","47,223","37,710","31,987","12,940","17,672","103,318","7,848","11,632","26,091","20,742","13,100","30,152","38,304","20,412","8,725","14,171","17,731","13,714","18,293","12,282","9,876","14,449","18,046","18,597","26,684","27,778","80,092","22,581","10,225","5,109","18,557","24,931","34,116","37,704","21,723","30,846","14,908","23,372","22,363","15,237","17,383","9,799","12,395","17,629","48,128","12,650","27,992","15,767","54,861","22,426","32,438","16,401","16,144","17,138","31,928","14,146","7,993","20,838","24,014","14,286","24,160","20,058","13,847","3,738","4,709","26,453","21,446","14,189","12,570","24,908","15,433","16,512","13,019","13,957","24,664","6,723","15,259","4,289","19,175","17,802","16,602","15,311","10,765","18,907","9,420","8,890","21,947","26,646","9,469","48,885","32,237","18,533","16,914","23,707","14,053","12,118","13,982","9,259","11,763","14,499","22,131","14,577","19,520","28,390","53,641","21,280","15,808","25,798","20,548","21,280","13,106","4,987","26,670","8,554","20,841","14,310","20,731","30,716","20,119","21,511","52,846","30,105","26,928","7,478","19,207","52,233","14,764","32,902","40,122","13,399","15,680","19,794","30,720","18,027","11,695","39,703","26,131","24,241","14,425","7,694","7,206","26,048","97,956","84,030","34,064","11,952","11,332","32,997","27,436","16,190","26,563","33,064","28,258","10,812","44,524","23,670","40,508","62,943","23,128","18,168","25,248","26,955","58,619","12,915","47,603","38,227","55,076","10,216","15,939","16,513","37,370","12,395","12,656","61,435","16,931","18,368","13,728","31,035","10,290","13,890","89,078","12,150","32,933","10,156","37,138","34,992","141,524","41,732","20,418","24,090","45,017","34,471","10,215","10,266","36,581","30,507","18,626"
5923,  Alberni-Clayoquot RD,"1,410",0,47,138,149,147,13,"5,373",0,229,107,77,"1,833",68,237,"1,811",284,"5,970",0,511,"8,940","1,145","1,496",325,24,"1,157",0,734,95,92,80,242,0,766,"4,322",322,236,278,600,463,872,280,105,579,"13,456","5,465","4,385",702,795,"1,673","2,000",179,"1,984",545,"1,740","1,032",91,895,0,224,100,337,0,97,445,35,190,61,0,440,723,181,"6,500",1,0,"1,425",117,15,6,23,0,"10,521",273,135,146,34,86,794,"4,760",317,534,"1,842","3,421",0,191,135,451,93,630,606,911,"1,037","1,595",192,602,"4,692",79,16,18,100,293,56,720,0,"3,253",161,975,278,457,165,26,203,355,52,"1,894",625,128,"2,900",203,27,2,851,6,"1,043",663,6,85,"1,369",359,35,100,260,17,182,10,108,160,88,537,49,169,376,43,333,9,120,50,203,375,299,71,11,300,140,36,0,"5,030",0,"2,045",30,420,"1,182","1,297",382,70,201,174,391,109,305,"1,518","1,195",856,"1,151",294,298,"1,309","3,005",134,38,"8,394",0,502,0,"1,406",476,"7,100",221,515,9,228,"2,539",905,960,565,0,310,754,380,120,"4,502","1,557",225,697,247,0,527,953,951,651,65,30,876,15,625,934,"1,525",387,1,"2,506","1,939",626,"4,835",339,772,600,"2,017",167,"1,504","1,983",380,140,575,69,"7,353",342,6,1,"1,377",483,835,20,"1,334",247,"1,869","8,554","3,380",160,22,"4,986",55,511,200,"1,547","3,455"
5923000,"    Alberni-Clayoquot, RDR","1,330",0,0,0,63,0,0,0,0,0,0,0,"1,833",0,237,200,284,19,0,0,75,"1,000",0,0,0,0,0,0,10,80,0,0,0,0,0,0,0,15,0,0,325,280,0,541,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,278,0,0,0,0,"1,090",10,0,0,0,0,0,0,0,0,0,10,480,"3,900",0,300,0,"1,240",0,0,5,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,73,0,0,0,0,"1,600",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,50,10,0,0,1,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,35,13,0,33,401,0,0,0,0,0,0,0,788,69,0,161,92,0,0,"1,535",0,0,0,0,46,0,0,51,0,0,0,0,0,0,0,0,793,0,0,0,876,0,0,0,"1,100",0,0,0,969,12,0,48,425,0,0,27,80,0,0,0,277,0,135,342,0,0,0,0,0,0,329,0,0,138,0,0,0,"1,694",0,0,0,"1,547",0
5923008,"    Port Alberni, C",80,0,12,46,86,120,3,163,0,229,0,0,0,68,0,"1,521",0,"5,784",0,511,"7,508",88,6,325,24,571,0,100,85,0,80,2,0,31,"3,368",0,13,0,600,390,156,0,105,38,299,348,"4,385",0,645,"1,359","2,000",23,"1,618",516,"1,704","1,032",7,895,0,223,100,337,0,97,123,35,190,60,0,440,400,180,0,0,0,335,0,14,6,23,0,"10,520",223,60,0,0,76,15,850,290,234,463,"2,181",0,63,130,450,92,599,577,900,"1,023","1,595",192,602,"4,072",0,0,4,0,195,0,20,0,"3,250",161,85,278,457,0,13,147,0,0,200,463,69,"2,900",0,0,0,800,6,650,100,6,85,15,350,35,0,80,4,23,0,0,60,75,530,49,150,371,43,117,0,120,40,190,50,15,45,11,300,140,36,0,80,0,875,0,157,518,0,0,0,0,174,266,97,0,508,0,790,25,50,160,900,"3,005",134,0,1,0,502,0,168,407,20,27,423,9,228,655,905,300,220,0,263,0,380,30,"4,502","1,501",225,672,44,0,527,926,158,25,35,0,0,0,0,934,400,226,1,"1,309",0,0,"3,568",50,111,600,"2,017",140,"1,424","1,766",380,0,30,0,"1,220",0,0,0,686,70,15,20,45,232,"1,869","5,800",21,150,0,0,52,295,200,0,"3,455"
5923025,"    Tofino, DM",0,0,35,92,0,27,10,"5,210",0,0,107,77,0,0,0,0,0,105,0,0,0,57,"1,490",0,0,586,0,634,0,0,0,0,0,655,954,322,0,103,0,15,1,0,0,0,0,"4,900",0,702,150,0,0,100,66,29,36,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,107,1,0,0,0,1,50,75,140,34,0,299,10,0,0,"1,375",0,0,128,0,0,0,0,0,11,12,0,0,0,550,79,0,0,98,98,0,350,0,0,0,300,0,0,60,0,0,0,52,40,0,59,0,203,27,0,0,0,393,493,0,0,32,0,0,100,145,0,109,0,108,55,8,0,0,0,0,0,171,9,0,5,9,45,226,26,0,0,0,0,0,"4,950",0,"1,170",30,185,638,"1,297",366,70,201,0,0,11,305,"1,010","1,010",31,"1,113",203,90,0,0,0,38,"7,808",0,0,0,60,0,"7,042",0,0,0,0,95,0,660,345,0,0,754,0,39,0,0,0,25,191,0,0,0,0,609,30,30,0,0,25,0,25,136,0,"1,197",953,614,"1,267",38,236,0,0,0,0,217,0,140,268,29,0,0,0,0,691,188,425,0,464,15,0,"2,591",39,0,0,0,0,0,0,0,0
5923019,"    Ucluelet, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,62,0,0,"1,357",0,0,0,0,0,0,0,0,12,0,240,0,80,0,0,223,160,0,58,390,0,0,0,"13,157",217,0,0,0,0,0,56,300,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,"6,500",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,27,0,4,0,0,0,0,1,1,31,0,0,0,0,0,0,70,0,16,14,2,0,56,350,0,3,0,0,0,0,32,13,56,355,0,54,162,0,0,0,0,2,51,0,0,40,0,0,"1,322",9,0,0,35,13,0,0,0,45,4,0,0,0,5,0,45,0,0,5,4,280,58,0,0,0,0,0,0,0,0,0,0,0,26,0,16,0,0,0,125,1,0,0,185,0,0,41,15,8,0,0,0,585,0,0,0,390,0,38,33,0,0,0,254,0,0,0,0,1,0,0,0,0,56,0,0,12,0,0,27,0,17,0,0,0,15,600,0,0,25,0,0,16,0,0,203,0,0,0,0,0,0,0,0,0,40,"5,998",0,6,1,0,225,395,0,495,0,0,25,"3,320",10,22,"3,292",3,216,0,0,0
5917,  Capital RD,"12,706","8,861","6,208","4,003","7,009","18,837","14,196","12,243","28,491","1,609","17,227","3,030","2,858","7,501","3,683","6,207","4,876","5,993","4,221","4,491","4,964","3,128","9,596","10,282","2,440","5,152","11,910","22,074","12,966","10,206","13,765","18,327","41,198","30,123","11,089","4,554","9,991","3,124","17,173","7,740","13,244","15,652","16,706","2,674","3,688","4,946","4,005","8,288","2,841","4,913","2,303","7,084","10,806","11,588","11,737","10,261","6,026","9,395","2,909","6,405","5,712","16,072","10,115","6,131","3,548","11,812","11,434","22,811","35,178","24,081","26,118","6,868","3,309","97,980","3,915","3,339","15,634","7,824","3,544","25,471","30,908","2,820","4,732","5,194","4,805","5,801","15,216","4,347","3,749","7,188","12,452","6,396","9,262","10,121","77,959","20,470","7,619","2,427","10,904","18,758","29,105","25,622","10,742","21,030","9,962","15,985","7,390","5,798","3,580","5,255","9,823","6,897","37,639","7,663","11,641","10,274","38,315","11,296","16,200","12,760","6,066","5,352","18,811","11,400","3,307","12,104","3,929","7,298","9,547","7,628","10,201","1,636","2,745","10,335","15,528","7,319","6,853","13,200","8,867","6,228","7,072","5,095","22,147","4,802","12,339","2,980","16,065","5,371","13,242","10,388","5,415","14,291","5,941","7,698","15,130","10,885","3,620","44,329","26,535","10,089","7,911","18,105","7,124","6,060","6,229","4,508","4,674","7,346","14,122","8,902","10,642","18,345","43,593","13,949","8,884","22,363","18,259","18,334","7,767","2,803","22,478","3,373","12,005","6,553","14,687","26,171","10,442","12,984","19,940","26,066","13,225","5,187","8,506","11,819","9,256","17,288","20,575","8,703","9,694","12,660","24,699","6,656","3,872","25,122","20,809","10,653","9,077","3,200","3,483","19,318","82,111","73,943","25,914","4,596","8,240","28,999","18,306","13,700","10,153","26,706","13,489","4,296","20,391","6,063","31,745","48,326","7,322","11,704","16,254","17,558","25,448","8,561","38,404","28,961","46,034","6,470","3,860","8,931","19,421","3,619","8,641","58,546","5,439","5,104","4,395","17,165","4,134","4,552","10,301","5,693","28,637","6,353","15,975","25,806","90,170","15,706","7,430","14,766","37,716","16,961","7,721","4,560","16,928","18,360","10,709"
