,Institutional and Government Building Permits ($ 000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5,Canada,"353,937","403,048","279,197","585,180","518,251","706,058","705,163","518,799","530,855","515,872","408,018","334,699","261,763","326,237","290,752","405,789","397,973","610,277","663,242","368,819","328,602","325,781","711,037","446,871","264,658","342,111","664,171","382,478","523,197","459,047","692,705","838,357","399,726","589,893","477,666","408,254","349,879","405,595","767,820","372,258","529,924","495,026","520,738","539,823","638,491","542,961","737,276","349,759","624,804","496,285","497,147","357,301","637,266","721,898","573,225","625,692","532,353","680,900","605,278","526,830","690,456","473,221","453,163","569,370","687,080","820,707","770,797","477,786","1,014,992","756,459","599,920","495,486","816,929","357,247","714,347","616,893","1,000,111","930,494","752,761","752,138","601,987","920,424","659,859","502,120","433,200","390,467","527,962","881,063","696,323","1,055,109","1,201,989","709,406","856,792","702,734","622,181","406,603","335,749","678,099","1,294,405","490,441","585,803","699,545","773,671","633,110","378,483","1,049,653","697,257","389,924","255,423","472,235","971,378","600,685","993,913","598,715","468,268","1,088,441","602,742","1,028,964","505,899","453,655","290,582","396,372","977,648","729,859","757,784","966,410","853,346","550,363","637,990","535,602","340,012","808,888","501,880","645,385","484,236","674,715","581,085","1,728,431","1,890,674","438,286","861,643","812,443","618,429","696,087","326,739","320,227","689,136","1,310,232","906,265","1,243,432","714,912","643,318","769,894","1,043,926","703,944","593,383","357,291","410,071","490,294","879,791","1,102,976","968,077","1,098,162","899,272","556,721","486,379","634,545","471,800","487,905","382,996","696,539","1,143,724","928,255","1,134,058","1,438,459","734,536","1,407,779","790,935","681,699","474,530","608,158","463,610","511,884","535,739","631,303","898,168","822,010","784,624","852,120","743,523","658,306","425,005","457,389","466,708","976,110","659,840","973,094","889,193","1,003,459","632,725","619,284","745,498","964,085","950,219","546,571","501,055","655,363","461,428","639,463","1,271,691","826,285","544,770","877,192","698,377","1,012,531","824,928","626,052","993,286","739,595","836,943","1,090,469","1,412,091","915,959","970,492","745,389","1,304,423","596,210","649,001","557,298","2,499,876","1,137,979","1,156,737","1,406,655","949,640","777,654","1,146,387","630,703","564,051","1,027,283","850,349","711,801","892,613","1,277,490","1,293,759","1,206,224","2,614,083","1,480,432","2,123,746","697,686","1,431,464","1,353,213","763,794","781,691","1,263,396","1,169,502","1,431,668","1,228,913","1,538,368","1,581,774","1,095,599","1,875,454","1,474,176","1,564,762","1,035,203","889,709"
59,British Columbia,"36,147","32,490","26,781","54,800","27,533","37,552","66,054","42,377","95,302","27,273","27,003","33,094","22,548","9,929","28,347","19,138","36,253","61,748","70,948","39,406","35,816","15,405","64,664","109,511","52,640","37,861","105,563","40,053","108,656","121,881","133,952","109,949","58,760","78,211","76,060","55,943","72,796","80,896","177,514","48,814","154,509","72,367","75,325","74,197","52,343","101,496","106,107","51,945","112,080","45,153","77,880","34,396","100,924","124,148","70,072","90,529","59,575","63,475","98,905","84,033","27,968","48,349","43,058","28,212","103,991","133,424","80,088","46,133","70,846","111,750","29,597","38,720","21,211","54,350","210,404","43,138","31,654","169,371","95,139","319,008","36,869","53,619","40,954","60,744","44,258","36,712","75,495","44,557","127,092","77,271","118,344","101,916","104,195","115,157","72,754","71,570","22,510","61,623","70,822","67,709","88,285","68,360","55,284","75,171","35,567","80,897","136,082","45,773","19,114","53,071","64,866","86,592","232,782","82,840","37,692","81,738","75,582","25,719","74,136","35,661","68,686","36,902","21,896","119,339","69,333","61,324","73,154","91,484","131,271","30,270","25,557","56,357","77,498","43,311","129,014","43,421","65,322","59,543","108,282","48,012","57,674","347,582","69,414","112,337","28,235","41,478","122,406","108,560","52,023","78,670","61,456","90,277","49,168","50,917","77,360","33,387","47,741","36,095","32,488","34,745","85,768","115,432","129,574","140,290","38,406","45,521","43,402","31,350","45,079","35,790","71,564","171,741","44,132","149,528","111,303","88,894","110,281","105,576","134,530","45,897","60,353","64,056","43,737","71,087","41,049","67,118","84,349","189,843","155,266","141,205","132,230","153,070","49,873","72,509","194,935","72,660","169,867","123,073","109,114","47,309","74,762","75,377","76,073","21,426","125,885","51,199","164,519","124,824","56,847","278,956","77,695","80,383","167,372","107,525","207,749","40,467","114,358","85,283","88,588","65,063","169,019","235,889","50,584","38,061","42,583","294,630","68,158","139,627","105,692","1,603,468","157,640","83,932","327,037","60,792","197,528","57,940","86,144","139,965","97,106","173,317","182,285","248,444","165,970","299,996","57,025","646,283","450,815","409,214","129,557","70,520","48,029","175,037","294,202","54,444","108,194","289,138","166,145","33,713","378,987","214,986","119,480","132,935","187,615","279,475","107,358"
Development Region, Vancouver Island/Coast DR,"13,094","10,756","1,000","4,399","3,789","5,376","22,762","2,823","9,834","16,853","12,292","10,589","2,925","2,324","1,350","2,470","7,414","24,020","10,062","11,960","6,937","4,522","5,211","1,738","18,842","6,843","10,898","2,172","19,708","3,129","21,105","7,563","3,103","32,935","15,118","6,920","12,656","9,039","16,278","3,693","11,903","6,790","28,301","1,986","2,887","50,122","2,712","14,980","32,998","14,300","50,181","6,730","70,173","19,267","19,926","30,594","4,531","1,353","12,541","2,814","3,548","13,751","12,877","3,933","8,238","19,697","21,352","11,900","5,880","6,964","1,033","10,180","7,017","5,950","137,153","4,154","4,913","8,439","16,431","9,622","1,800","6,223","5,881","1,502","7,400","3,851","6,243","2,350","23,736","5,023","19,027","10,063","36,863","12,934","11,581","20,371",551,"40,134","3,601","4,894","3,985","7,307","6,317","11,052","10,098","28,267","1,857",583,"1,546","11,840","2,181","2,532","14,742","4,476","7,811","6,707",735,"3,575","5,622","3,279","5,473","3,106","8,974","63,515","25,249","20,375","3,883","15,173","5,965","5,883","1,529","5,441","42,656","1,665","27,081","19,452","3,075","31,912","12,040","19,877","33,542","4,455","3,478","32,256","7,215","5,443","41,070","20,230","5,112","29,730","3,652",477,"12,922","1,724","17,716","4,628","3,665","13,506","10,682","1,581","8,988","3,840","55,258","27,554","22,110","3,525","1,226","3,428","2,416","6,384","21,511","1,504","13,815","18,297","20,982","13,341","37,231","55,453","5,676","7,015","7,678","9,655","2,705","24,051","3,626","6,104","15,513","23,474","4,200","11,680","8,512","1,433","22,682","2,500","32,932","13,634","3,156","9,820","13,950","9,085","9,249","8,433","3,290",106,"27,462","7,675","46,850","1,121","14,959","6,753","9,982","18,688","9,354","12,674","28,791","8,784","64,179","17,331","29,960","10,820","52,347","7,424","5,117","9,891","8,507","14,588","25,461","2,739","39,428","30,807","39,864","8,725","69,623","15,175","81,206","19,416","29,581","73,015","25,928","29,298","53,238","25,821","46,062","245,984","7,956","13,463","44,729","8,292","56,738","10,486","5,768","138,855","12,695","8,224","10,531","5,414","30,650","5,365","10,774","1,617","27,333","29,552","20,347","16,318","14,901"
5923,  Alberni-Clayoquot RD,0,0,0,0,0,250,14,176,0,7,0,0,0,0,0,0,228,0,175,0,0,"3,286",0,0,0,0,10,0,0,0,"5,221",93,0,"1,534",24,0,60,107,30,10,0,0,0,0,177,0,3,0,0,0,394,"1,400",0,57,0,1,200,0,0,367,0,0,0,0,12,0,292,650,0,"1,088",100,"5,740",0,650,0,0,0,23,0,0,4,30,0,0,20,0,917,450,"3,464",200,15,0,"2,500",0,20,0,0,"33,491",140,0,45,0,0,0,100,0,11,0,900,300,0,175,0,0,0,0,0,0,237,625,0,0,0,0,0,100,0,0,0,0,0,0,886,0,0,0,0,0,0,100,0,0,0,0,60,0,60,0,0,0,0,0,7,117,0,0,0,0,576,5,53,40,0,300,0,0,0,0,0,0,21,5,0,0,28,0,5,0,0,250,0,50,0,0,140,0,"7,100",525,75,0,40,0,0,50,0,0,100,0,0,150,0,0,0,3,4,5,0,0,0,1,0,"16,965",0,0,"2,015",0,0,0,0,0,0,0,0,0,"5,000",0,0,0,0,0,0,0,0,"3,931",0,100,0,0,0,0,0,0,25,0,0,"2,504",120,15,0,"3,028",0,0,0,50,189,6,0,0,0,0,"9,650",45,475,698,0
5923000,"    Alberni-Clayoquot, RDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,15,0,"5,740",0,0,0,0,0,0,0,0,4,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,425,0,0
5923008,"    Port Alberni, C",0,0,0,0,0,0,14,0,0,7,0,0,0,0,0,0,228,0,0,0,0,"3,286",0,0,0,0,0,0,0,0,"5,221",24,0,0,24,0,60,107,30,10,0,0,0,0,177,0,3,0,0,0,394,"1,400",0,29,0,0,200,0,0,367,0,0,0,0,12,0,0,650,0,"1,073",100,0,0,650,0,0,0,23,0,0,0,30,0,0,20,0,73,450,"3,182",200,15,0,"2,500",0,20,0,0,"33,491",140,0,0,0,0,0,100,0,11,0,900,300,0,175,0,0,0,0,0,0,0,625,0,0,0,0,0,100,0,0,0,0,0,0,886,0,0,0,0,0,0,100,0,0,0,0,0,0,60,0,0,0,0,0,7,57,0,0,0,0,576,5,53,40,0,300,0,0,0,0,0,0,21,0,0,0,28,0,5,0,0,0,0,50,0,0,140,0,"7,100",525,75,0,0,0,0,50,0,0,100,0,0,150,0,0,0,3,4,5,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,"5,000",0,0,0,0,0,0,0,0,"3,800",0,100,0,0,0,0,0,0,25,0,0,"2,504",10,15,0,928,0,0,0,0,0,0,0,0,0,0,"9,650",42,50,150,0
5923025,"    Tofino, DM",0,0,0,0,0,250,0,176,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,"2,100",0,0,0,0,189,0,0,0,0,0,0,0,0,548,0
5923019,"    Ucluelet, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,"1,110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"16,950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,6,0,0,0,0,0,0,0,0,0
5917,  Capital RD,"9,316","10,521",681,"4,369","1,950","2,733","19,370","2,139","8,540","2,511","11,802","6,271","2,856","1,635","1,184","2,194","4,818","21,905","8,368","8,996","6,166",708,177,"1,095",50,"6,649","7,127","1,647","9,593","1,662","14,691",995,"2,719","29,458","13,102","5,816","2,190","2,895","4,799","1,474","8,260","4,328","25,987","1,197","1,614","49,800","2,459","1,437","32,893","12,893","25,221",793,"28,426","13,908","14,501","6,462","3,094",668,"5,785","1,029",609,"13,452","11,716",806,"8,146","18,097","11,352","3,762","5,720","5,569",408,"4,435","6,085","2,817","132,592",369,"4,593","1,167","13,190","2,134",657,"5,874","5,268",439,"1,750","3,052","4,063","1,731","19,661","3,011","4,429",298,"13,237","3,677","10,121","17,744",161,"2,941","1,616","4,135","3,806","6,805","4,030","6,963","4,453","4,294","1,473",10,86,"1,555","1,677","2,129","1,264","1,770","7,236","3,310",238,108,284,"1,228","3,235","1,526","8,101","62,320",745,"1,517","3,499","10,696","5,203","3,720","1,001","5,275","38,898","1,036","24,718",794,"2,463","4,089","4,799","11,047",904,"3,889","1,598","1,185","1,380","4,639",646,"17,820","2,459","4,053","2,033",384,"12,250","1,130","5,721","4,038","1,492","1,116","4,112",729,"5,103","1,776","29,664","26,894","10,354","1,014","1,116",474,"2,401","4,039","6,265","1,411","12,912","17,738","13,795","7,285","36,655","53,163","5,130",309,"5,763","8,001","2,287","22,289","3,292","4,744","7,143","21,973","1,138","2,914","7,431",928,"19,413",435,"4,439",620,403,"6,082","12,473",63,"8,532","1,005","2,411",103,"8,326","7,370","4,160",526,"2,424","2,035","7,157","1,430","7,886","11,668","26,206","7,131","38,413","15,405",202,"1,850","38,955","4,301","2,958","9,056","2,443","2,140","23,933","1,686",715,"1,722",736,"3,570","5,135","9,321","74,410","17,368","27,547","2,985","4,806","17,460","2,089","22,950","42,589","34,900","1,980","1,195","25,004","2,277","56,238","6,876","3,970","134,066","8,821","7,576","1,168","2,624","29,872","4,615","10,428","1,409","17,399","14,193","17,692","5,326","1,427"
