,Residential Building Permits (Number of apartment units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5,Canada,"3,837","2,771","5,204","4,794","6,217","5,321","6,208","4,775","4,775","5,717","6,630","5,096","4,132","3,867","6,393","7,500","4,688","9,323","5,983","5,952","6,331","4,849","7,577","4,801","3,680","4,892","4,790","5,772","6,864","8,078","7,048","5,386","5,754","6,232","5,264","13,932","3,187","4,620","6,904","6,808","7,011","6,420","6,735","7,110","6,269","8,653","7,433","5,363","5,741","3,831","6,655","7,727","6,556","8,566","7,974","6,438","6,317","8,178","7,290","7,130","4,826","6,241","6,202","8,635","7,552","6,290","7,728","6,020","5,273","5,020","5,708","5,841","2,472","3,044","4,458","3,741","5,532","4,788","3,738","3,780","4,988","5,185","6,885","6,677","4,963","3,238","6,668","5,155","5,943","6,485","5,844","7,077","6,577","7,278","5,450","7,935","6,613","4,556","8,077","6,029","9,013","7,914","7,994","6,784","7,484","7,081","7,483","9,351","6,319","7,854","7,876","7,526","9,367","9,259","8,826","9,101","7,174","8,433","7,858","5,432","6,152","5,002","6,304","10,323","10,922","9,298","8,746","9,213","8,488","10,035","10,379","6,710","7,928","6,308","7,750","6,695","8,852","7,172","10,940","7,195","8,659","9,844","8,957","6,909","5,408","6,748","10,343","10,053","7,043","8,892","10,381","9,525","8,657","11,978","7,345","8,666","5,710","5,170","7,466","8,485","8,626","6,605","8,158","8,856","9,559","12,632","10,143","10,750","6,913","8,172","8,612","6,914","9,562","11,774","12,287","10,099","9,363","10,765","8,773","9,559","8,444","7,783","9,857","11,935","14,005","13,254","13,473","9,925","11,612","13,672","11,639","14,376","12,684","8,982","9,890","11,982","14,690","11,679","12,168","12,612","11,728","12,613","9,860","12,351","12,027","9,360","10,034","10,101","15,058","14,519","12,220","15,386","15,201","14,111","14,553","14,696","13,450","9,217","17,745","14,689","14,257","16,390","17,050","13,611","17,396","14,863","17,632","15,910","9,834","10,544","14,857","13,436","15,246","19,246","13,538","16,405","12,964","11,153","16,461","13,976","9,152","13,074","17,499","11,399","17,583","22,721","15,825","13,205","16,218","14,279","17,494","8,922","9,242","12,090","14,895","21,620","18,906","16,419","17,997","16,187","19,337","17,470","15,749","18,953","14,663"
59,British Columbia,330,212,"1,633",658,460,577,"1,595",740,966,775,340,"1,124","1,358",653,938,"1,020",699,"3,644","1,361",690,"1,218",634,"1,301",649,"1,108",967,"1,325","1,213",874,"1,568","1,371","1,942","1,403","1,943",897,"2,646",609,714,"1,952","1,627","1,585","1,424","1,438","1,978","1,941","1,726","2,525","1,456","2,304","1,099","1,667","2,731","2,395","2,714","2,027","1,558","1,245","2,159","1,104","1,472","1,511","1,676","1,766","1,702","1,487","1,437","1,111","1,560","1,353",757,547,280,131,685,403,324,422,377,689,346,819,704,"1,100","1,649",746,609,"1,393",577,791,"1,351",769,"1,635","2,099","2,316",466,939,"1,286","1,146",631,"1,275",946,"1,673",861,"1,082","1,188","1,107","1,579",891,867,927,"1,122","1,022","1,955","1,768","1,891","1,368","1,304",952,"1,195","1,234","1,426",992,"1,179","2,295","1,063","1,807","1,163","1,541","1,017","1,145","1,975","1,078","1,936",949,"1,284",754,"1,625","1,283","1,870","1,453","1,541","1,953","1,048",895,"1,041","1,285","3,104","1,909","1,977","1,877","2,593","1,716","1,789","1,727","2,153","2,185","1,386","1,046","2,092","2,736","1,908","1,077","1,414","2,233","1,828","1,736","3,248","1,239","1,347","2,696","1,946","1,624","2,495","2,923","4,052","2,161","2,783","2,865","1,549","3,559","1,507","1,881","2,801","1,790","2,898","3,730","2,927","3,153","2,081","2,943","1,927","3,092","2,577","1,924","2,418","5,001","1,942","3,453","2,395","2,604","2,112","3,008","1,506","3,497","4,943","1,515","1,283","2,314","2,509","3,760","2,082","1,876","2,153","1,368","2,423","2,824","2,323","2,778","2,799","2,183","1,688","2,504","3,581","2,780","2,687","1,949","4,953","3,732","1,429","2,922","4,299","3,131","4,296","4,368","4,137","3,732","2,947","3,336","4,107","4,556","1,395","2,269","4,675","3,071","4,501","6,988","2,316","1,931","4,781","3,166","2,650","2,902","1,335","2,775","4,467","8,809","1,761","1,688","2,749","2,815","2,798","2,910","1,300","4,404","2,704"
Development Region, Vancouver Island/Coast DR,8,32,137,3,177,144,57,17,101,13,6,202,56,100,64,162,80,168,152,90,51,151,132,141,150,279,187,19,258,174,74,125,68,239,71,325,91,162,137,209,77,140,505,376,145,403,95,236,193,220,521,411,159,337,163,118,201,78,137,175,87,168,243,135,168,203,354,288,117,70,69,13,36,67,47,41,62,43,59,113,126,116,243,212,281,84,127,212,107,204,150,101,79,64,101,111,151,135,69,57,193,222,160,221,113,160,167,65,167,289,191,226,78,55,96,154,98,219,235,118,191,42,121,104,47,225,168,182,154,159,45,76,65,92,178,52,294,182,116,114,240,266,135,191,183,198,314,332,137,131,388,114,213,170,116,495,117,294,258,227,194,198,254,243,487,261,191,209,148,186,245,220,260,395,924,345,331,387,128,557,493,178,267,220,639,966,401,88,496,525,427,294,557,170,380,352,147,660,212,565,727,444,593,579,441,390,335,288,236,253,459,241,492,234,896,447,420,593,377,612,252,790,910,435,399,304,639,286,346,366,540,909,409,940,615,764,453,295,561,249,314,427,730,423,420,825,477,307,570,805,574,518,432,433,386,894,279,263,642,985,662,624,464,456,264
5923,  Alberni-Clayoquot RD,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,29,0,23,0,50,0,0,5,0,0,0,0,0,2,0,0,2,2,3,0,0,0,0,5,10,2,0,2,3,0,0,0,0,0,0,0,0,6,0,2,1,6,3,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,7,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,5,2,5,0,0,0,2,10,2,4,2,0,0,0,2,2,4,0,2,30,0,2,2,0,0,3,5,0,0,0,0,2,0,167,147,2,0,4,0,0,0,6,1,3,2,49,7,1,1,20,13,48,10,4,36,1,2,4,4,1,1,2,6,4,0,17,12,63,71,0,18,1,0,2,9,0,2,5,0,0,0,1,9,1,5,1,5,36,0,5,2,1,2,2,6,3,0
5923000,"    Alberni-Clayoquot, RDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5923008,"    Port Alberni, C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,2,0,0,0,0,0,2,0,2,2,47,3,1,0,0,10,48,4,1,1,1,2,4,2,0,1,2,6,0,0,15,10,22,64,0,16,1,0,2,3,0,2,4,0,0,0,1,3,0,0,1,3,35,0,4,2,1,2,2,6,3,0
5923025,"    Tofino, DM",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,1,0,0,0,35,0,0,0,0,1,0,0,0,0,0,2,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5923019,"    Ucluelet, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,50,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,2,0,0,0,2,2,4,0,2,0,0,2,2,0,0,3,5,0,0,0,0,2,0,2,6,0,0,4,0,0,0,4,0,0,0,2,4,0,0,2,2,0,6,3,0,0,0,0,2,0,0,0,0,4,0,0,2,2,4,0,2,0,0,0,6,0,0,1,0,0,0,0,6,0,4,0,2,0,0,1,0,0,0,0,0,0,0
5917,  Capital RD,8,29,48,1,167,128,53,9,75,2,2,192,49,61,53,75,50,87,136,4,45,129,50,106,8,150,179,3,190,111,14,76,16,147,8,81,32,124,82,130,38,22,287,216,54,196,76,65,145,106,411,272,80,221,74,36,152,38,76,12,35,103,142,73,45,71,235,235,13,9,7,4,16,5,2,9,5,7,20,78,64,36,211,151,190,12,23,124,9,104,101,35,7,13,52,79,114,98,32,18,108,140,111,29,75,14,79,5,143,247,145,192,19,3,17,46,73,129,204,84,140,6,73,49,26,185,141,61,111,61,28,10,16,15,132,11,237,27,44,67,130,131,92,145,44,126,243,192,78,95,336,67,131,76,82,446,52,223,199,160,74,127,193,147,141,199,127,142,94,68,115,177,167,283,842,270,125,341,38,362,409,132,143,107,464,801,258,22,371,259,259,198,337,60,216,57,47,248,108,386,429,105,251,278,391,331,288,41,144,181,91,112,124,125,216,337,238,398,211,408,174,538,673,328,106,183,459,185,144,191,388,546,185,509,376,500,295,254,344,203,290,293,289,301,374,404,395,173,484,543,287,179,385,279,336,703,210,110,619,826,452,379,212,418,194
