Month,Number of Commercial Building Permits,Date
Jan-03,52318.0,2003-01
Feb-03,24779.0,2003-02
Mar-03,30594.0,2003-03
Apr-03,53760.0,2003-04
May-03,53410.0,2003-05
Jun-03,49407.0,2003-06
Jul-03,57733.0,2003-07
Aug-03,54779.0,2003-08
Sep-03,46667.0,2003-09
Oct-03,70281.0,2003-10
Nov-03,48471.0,2003-11
Dec-03,65565.0,2003-12
Jan-04,84062.0,2004-01
Feb-04,42402.0,2004-02
Mar-04,47710.0,2004-03
Apr-04,67202.0,2004-04
May-04,70163.0,2004-05
Jun-04,128889.0,2004-06
Jul-04,47377.0,2004-07
Aug-04,81294.0,2004-08
Sep-04,69967.0,2004-09
Oct-04,54474.0,2004-10
Nov-04,42534.0,2004-11
Dec-04,76326.0,2004-12
Jan-05,70232.0,2005-01
Feb-05,78689.0,2005-02
Mar-05,168053.0,2005-03
Apr-05,102738.0,2005-04
May-05,128906.0,2005-05
Jun-05,136846.0,2005-06
Jul-05,63166.0,2005-07
Aug-05,73546.0,2005-08
Sep-05,111923.0,2005-09
Oct-05,57638.0,2005-10
Nov-05,45248.0,2005-11
Dec-05,62044.0,2005-12
Jan-06,78691.0,2006-01
Feb-06,72351.0,2006-02
Mar-06,139937.0,2006-03
Apr-06,118015.0,2006-04
May-06,129179.0,2006-05
Jun-06,142525.0,2006-06
Jul-06,126619.0,2006-07
Aug-06,174848.0,2006-08
Sep-06,89684.0,2006-09
Oct-06,308525.0,2006-10
Nov-06,196539.0,2006-11
Dec-06,89631.0,2006-12
Jan-07,133306.0,2007-01
Feb-07,161261.0,2007-02
Mar-07,166081.0,2007-03
Apr-07,173224.0,2007-04
May-07,205321.0,2007-05
Jun-07,268380.0,2007-06
Jul-07,111561.0,2007-07
Aug-07,97667.0,2007-08
Sep-07,69704.0,2007-09
Oct-07,117668.0,2007-10
Nov-07,92980.0,2007-11
Dec-07,133413.0,2007-12
Jan-08,69119.0,2008-01
Feb-08,69607.0,2008-02
Mar-08,132086.0,2008-03
Apr-08,154721.0,2008-04
May-08,287248.0,2008-05
Jun-08,210487.0,2008-06
Jul-08,100580.0,2008-07
Aug-08,117458.0,2008-08
Sep-08,120856.0,2008-09
Oct-08,204674.0,2008-10
Nov-08,169681.0,2008-11
Dec-08,73584.0,2008-12
Jan-09,53230.0,2009-01
Feb-09,72811.0,2009-02
Mar-09,60346.0,2009-03
Apr-09,32649.0,2009-04
May-09,118141.0,2009-05
Jun-09,68655.0,2009-06
Jul-09,81386.0,2009-07
Aug-09,95783.0,2009-08
Sep-09,58349.0,2009-09
Oct-09,66522.0,2009-10
Nov-09,153056.0,2009-11
Dec-09,110733.0,2009-12
Jan-10,58117.0,2010-01
Feb-10,67324.0,2010-02
Mar-10,74527.0,2010-03
Apr-10,90053.0,2010-04
May-10,79479.0,2010-05
Jun-10,73620.0,2010-06
Jul-10,151460.0,2010-07
Aug-10,42906.0,2010-08
Sep-10,127269.0,2010-09
Oct-10,148493.0,2010-10
Nov-10,64269.0,2010-11
Dec-10,80245.0,2010-12
Jan-11,55374.0,2011-01
Feb-11,81521.0,2011-02
Mar-11,238942.0,2011-03
Apr-11,81129.0,2011-04
May-11,48338.0,2011-05
Jun-11,93799.0,2011-06
Jul-11,167192.0,2011-07
Aug-11,81909.0,2011-08
Sep-11,65335.0,2011-09
Oct-11,46934.0,2011-10
Nov-11,64641.0,2011-11
Dec-11,174218.0,2011-12
Jan-12,142633.0,2012-01
Feb-12,122620.0,2012-02
Mar-12,76966.0,2012-03
Apr-12,165149.0,2012-04
May-12,81134.0,2012-05
Jun-12,85433.0,2012-06
Jul-12,183235.0,2012-07
Aug-12,134351.0,2012-08
Sep-12,280458.0,2012-09
Oct-12,131082.0,2012-10
Nov-12,89706.0,2012-11
Dec-12,61730.0,2012-12
Jan-13,53912.0,2013-01
Feb-13,102674.0,2013-02
Mar-13,74570.0,2013-03
Apr-13,85486.0,2013-04
May-13,77714.0,2013-05
Jun-13,167231.0,2013-06
Jul-13,81561.0,2013-07
Aug-13,127250.0,2013-08
Sep-13,95667.0,2013-09
Oct-13,191692.0,2013-10
Nov-13,149264.0,2013-11
Dec-13,64512.0,2013-12
Jan-14,99843.0,2014-01
Feb-14,176922.0,2014-02
Mar-14,85977.0,2014-03
Apr-14,75770.0,2014-04
May-14,103729.0,2014-05
Jun-14,151547.0,2014-06
Jul-14,139682.0,2014-07
Aug-14,67222.0,2014-08
Sep-14,76950.0,2014-09
Oct-14,350764.0,2014-10
Nov-14,57831.0,2014-11
Dec-14,162836.0,2014-12
Jan-15,61384.0,2015-01
Feb-15,87583.0,2015-02
Mar-15,199132.0,2015-03
Apr-15,167952.0,2015-04
May-15,98991.0,2015-05
Jun-15,180055.0,2015-06
Jul-15,154059.0,2015-07
Aug-15,134466.0,2015-08
Sep-15,133023.0,2015-09
Oct-15,121403.0,2015-10
Nov-15,109385.0,2015-11
Dec-15,184282.0,2015-12
Jan-16,104514.0,2016-01
Feb-16,184542.0,2016-02
Mar-16,164512.0,2016-03
Apr-16,110851.0,2016-04
May-16,126234.0,2016-05
Jun-16,123123.0,2016-06
Jul-16,122905.0,2016-07
Aug-16,89564.0,2016-08
Sep-16,53757.0,2016-09
Oct-16,145113.0,2016-10
Nov-16,107907.0,2016-11
Dec-16,113485.0,2016-12
Jan-17,133385.0,2017-01
Feb-17,130787.0,2017-02
Mar-17,119275.0,2017-03
Apr-17,100576.0,2017-04
May-17,116970.0,2017-05
Jun-17,143780.0,2017-06
Jul-17,108733.0,2017-07
Aug-17,148873.0,2017-08
Sep-17,118816.0,2017-09
Oct-17,240324.0,2017-10
Nov-17,176032.0,2017-11
Dec-17,160693.0,2017-12
Jan-18,148003.0,2018-01
Feb-18,158746.0,2018-02
Mar-18,294321.0,2018-03
Apr-18,89658.0,2018-04
May-18,120361.0,2018-05
Jun-18,150873.0,2018-06
Jul-18,127371.0,2018-07
Aug-18,390568.0,2018-08
Sep-18,149146.0,2018-09
Oct-18,182334.0,2018-10
Nov-18,485545.0,2018-11
