Month,Number of Industrial Building Permits,Date
Jan-03,12987.0,2003-01
Feb-03,4608.0,2003-02
Mar-03,5190.0,2003-03
Apr-03,5057.0,2003-04
May-03,3313.0,2003-05
Jun-03,7673.0,2003-06
Jul-03,10131.0,2003-07
Aug-03,5973.0,2003-08
Sep-03,12548.0,2003-09
Oct-03,9160.0,2003-10
Nov-03,9467.0,2003-11
Dec-03,3975.0,2003-12
Jan-04,1989.0,2004-01
Feb-04,5372.0,2004-02
Mar-04,2648.0,2004-03
Apr-04,7680.0,2004-04
May-04,8643.0,2004-05
Jun-04,25518.0,2004-06
Jul-04,14890.0,2004-07
Aug-04,6525.0,2004-08
Sep-04,7170.0,2004-09
Oct-04,4030.0,2004-10
Nov-04,43152.0,2004-11
Dec-04,12802.0,2004-12
Jan-05,4850.0,2005-01
Feb-05,7814.0,2005-02
Mar-05,16890.0,2005-03
Apr-05,9135.0,2005-04
May-05,6257.0,2005-05
Jun-05,13480.0,2005-06
Jul-05,11437.0,2005-07
Aug-05,23355.0,2005-08
Sep-05,5025.0,2005-09
Oct-05,11890.0,2005-10
Nov-05,18310.0,2005-11
Dec-05,19755.0,2005-12
Jan-06,4723.0,2006-01
Feb-06,9839.0,2006-02
Mar-06,9839.0,2006-03
Apr-06,9454.0,2006-04
May-06,10377.0,2006-05
Jun-06,16356.0,2006-06
Jul-06,15173.0,2006-07
Aug-06,19100.0,2006-08
Sep-06,30230.0,2006-09
Oct-06,5653.0,2006-10
Nov-06,33534.0,2006-11
Dec-06,8135.0,2006-12
Jan-07,8563.0,2007-01
Feb-07,11648.0,2007-02
Mar-07,13060.0,2007-03
Apr-07,7767.0,2007-04
May-07,4914.0,2007-05
Jun-07,12275.0,2007-06
Jul-07,10711.0,2007-07
Aug-07,8857.0,2007-08
Sep-07,6452.0,2007-09
Oct-07,8654.0,2007-10
Nov-07,14165.0,2007-11
Dec-07,17139.0,2007-12
Jan-08,7348.0,2008-01
Feb-08,25970.0,2008-02
Mar-08,6389.0,2008-03
Apr-08,10651.0,2008-04
May-08,12857.0,2008-05
Jun-08,9691.0,2008-06
Jul-08,6789.0,2008-07
Aug-08,3942.0,2008-08
Sep-08,10964.0,2008-09
Oct-08,15679.0,2008-10
Nov-08,8051.0,2008-11
Dec-08,5867.0,2008-12
Jan-09,10108.0,2009-01
Feb-09,6870.0,2009-02
Mar-09,9350.0,2009-03
Apr-09,2876.0,2009-04
May-09,7117.0,2009-05
Jun-09,15211.0,2009-06
Jul-09,11548.0,2009-07
Aug-09,9391.0,2009-08
Sep-09,2756.0,2009-09
Oct-09,10221.0,2009-10
Nov-09,4599.0,2009-11
Dec-09,4130.0,2009-12
Jan-10,3715.0,2010-01
Feb-10,2783.0,2010-02
Mar-10,7654.0,2010-03
Apr-10,8950.0,2010-04
May-10,8716.0,2010-05
Jun-10,15264.0,2010-06
Jul-10,8109.0,2010-07
Aug-10,5587.0,2010-08
Sep-10,5501.0,2010-09
Oct-10,12595.0,2010-10
Nov-10,7018.0,2010-11
Dec-10,4642.0,2010-12
Jan-11,6033.0,2011-01
Feb-11,10386.0,2011-02
Mar-11,7367.0,2011-03
Apr-11,15172.0,2011-04
May-11,6248.0,2011-05
Jun-11,18740.0,2011-06
Jul-11,3974.0,2011-07
Aug-11,11734.0,2011-08
Sep-11,5844.0,2011-09
Oct-11,12085.0,2011-10
Nov-11,29274.0,2011-11
Dec-11,8817.0,2011-12
Jan-12,32774.0,2012-01
Feb-12,12732.0,2012-02
Mar-12,14203.0,2012-03
Apr-12,11897.0,2012-04
May-12,18067.0,2012-05
Jun-12,14108.0,2012-06
Jul-12,12436.0,2012-07
Aug-12,12960.0,2012-08
Sep-12,17350.0,2012-09
Oct-12,23607.0,2012-10
Nov-12,12243.0,2012-11
Dec-12,8447.0,2012-12
Jan-13,18589.0,2013-01
Feb-13,16310.0,2013-02
Mar-13,14839.0,2013-03
Apr-13,4790.0,2013-04
May-13,20457.0,2013-05
Jun-13,6986.0,2013-06
Jul-13,39224.0,2013-07
Aug-13,12135.0,2013-08
Sep-13,5186.0,2013-09
Oct-13,7720.0,2013-10
Nov-13,6324.0,2013-11
Dec-13,8337.0,2013-12
Jan-14,4347.0,2014-01
Feb-14,4846.0,2014-02
Mar-14,22273.0,2014-03
Apr-14,11666.0,2014-04
May-14,26643.0,2014-05
Jun-14,4587.0,2014-06
Jul-14,22023.0,2014-07
Aug-14,8284.0,2014-08
Sep-14,9235.0,2014-09
Oct-14,5686.0,2014-10
Nov-14,8206.0,2014-11
Dec-14,17038.0,2014-12
Jan-15,8911.0,2015-01
Feb-15,6398.0,2015-02
Mar-15,57225.0,2015-03
Apr-15,8306.0,2015-04
May-15,12237.0,2015-05
Jun-15,25202.0,2015-06
Jul-15,6743.0,2015-07
Aug-15,22612.0,2015-08
Sep-15,8048.0,2015-09
Oct-15,38617.0,2015-10
Nov-15,37735.0,2015-11
Dec-15,6719.0,2015-12
Jan-16,7921.0,2016-01
Feb-16,11158.0,2016-02
Mar-16,25497.0,2016-03
Apr-16,8057.0,2016-04
May-16,6334.0,2016-05
Jun-16,14570.0,2016-06
Jul-16,12702.0,2016-07
Aug-16,7706.0,2016-08
Sep-16,39082.0,2016-09
Oct-16,8478.0,2016-10
Nov-16,24916.0,2016-11
Dec-16,16177.0,2016-12
Jan-17,26700.0,2017-01
Feb-17,16654.0,2017-02
Mar-17,8910.0,2017-03
Apr-17,9599.0,2017-04
May-17,11355.0,2017-05
Jun-17,71172.0,2017-06
Jul-17,11688.0,2017-07
Aug-17,17143.0,2017-08
Sep-17,27026.0,2017-09
Oct-17,57011.0,2017-10
Nov-17,15961.0,2017-11
Dec-17,19451.0,2017-12
Jan-18,20697.0,2018-01
Feb-18,9092.0,2018-02
Mar-18,19066.0,2018-03
Apr-18,19334.0,2018-04
May-18,32821.0,2018-05
Jun-18,17512.0,2018-06
Jul-18,34089.0,2018-07
Aug-18,17684.0,2018-08
Sep-18,9983.0,2018-09
Oct-18,6969.0,2018-10
Nov-18,30951.0,2018-11
Dec-18,7891.0,2018-12
Jan-19,5337.0,2019-01
Feb-19,9262.0,2019-02
Mar-19,61295.0,2019-03
Apr-19,40934.0,2019-04
May-19,15318.0,2019-05
Jun-19,18275.0,2019-06
Jul-19,48326.0,2019-07
Aug-19,8623.0,2019-08
Sep-19,66960.0,2019-09
Oct-19,21258.0,2019-10
Nov-19,51226.0,2019-11
Dec-19,12703.0,2019-12
Jan-20,17736.0,2020-01
Feb-20,33622.0,2020-02
Mar-20,42285.0,2020-03
Apr-20,8628.0,2020-04
May-20,7865.0,2020-05
Jun-20,18616.0,2020-06
Jul-20,5993.0,2020-07
Aug-20,65480.0,2020-08
Sep-20,68710.0,2020-09
Oct-20,17144.0,2020-10
Nov-20,6299.0,2020-11
Dec-20,36062.0,2020-12
Jan-21,8964.0,2021-01
Feb-21,16927.0,2021-02
Mar-21,69077.0,2021-03
Apr-21,8531.0,2021-04
May-21,28689.0,2021-05
Jun-21,31097.0,2021-06
Jul-21,11097.0,2021-07
Aug-21,23425.0,2021-08
Sep-21,35987.0,2021-09
Oct-21,23329.0,2021-10
Nov-21,32067.0,2021-11
Dec-21,5934.0,2021-12
Jan-22,54337.0,2022-01
Feb-22,10129.0,2022-02
Mar-22,114271.0,2022-03
Apr-22,10971.0,2022-04
May-22,61109.0,2022-05
Jun-22,26311.0,2022-06
Jul-22,15480.0,2022-07
Aug-22,30885.0,2022-08
Sep-22,25318.0,2022-09
Oct-22,12992.0,2022-10
Nov-22,17442.0,2022-11
Dec-22,18962.0,2022-12
Jan-23,79820.0,2023-01
Feb-23,6049.0,2023-02
Mar-23,79933.0,2023-03
Apr-23,12388.0,2023-04
May-23,12277.0,2023-05
Jun-23,50512.0,2023-06
Jul-23,43224.0,2023-07
Aug-23,62297.0,2023-08
Sep-23,8030.0,2023-09
Oct-23,8277.0,2023-10
Nov-23,58791.0,2023-11
Dec-23,4489.0,2023-12
Jan-24,9882.0,2024-01
Feb-24,15345.0,2024-02
Mar-24,10852.0,2024-03
Apr-24,84345.0,2024-04
May-24,19692.0,2024-05
Jun-24,7389.0,2024-06
Jul-24,337739.0,2024-07
Aug-24,6203.0,2024-08
Sep-24,7250.0,2024-09
Oct-24,22326.0,2024-10
Nov-24,21022.0,2024-11
Dec-24,12649.0,2024-12
Jan-25,16577.0,2025-01
