Month,Number of Institutional and Government Building Permits,Date
Jan-03,11443.0,2003-01
Feb-03,18830.0,2003-02
Mar-03,12053.0,2003-03
Apr-03,38261.0,2003-04
May-03,12708.0,2003-05
Jun-03,20556.0,2003-06
Jul-03,9203.0,2003-07
Aug-03,22132.0,2003-08
Sep-03,52683.0,2003-09
Oct-03,6025.0,2003-10
Nov-03,5719.0,2003-11
Dec-03,18185.0,2003-12
Jan-04,13836.0,2004-01
Feb-04,3752.0,2004-02
Mar-04,18585.0,2004-03
Apr-04,8486.0,2004-04
May-04,17516.0,2004-05
Jun-04,25836.0,2004-06
Jul-04,27156.0,2004-07
Aug-04,6979.0,2004-08
Sep-04,16093.0,2004-09
Oct-04,6938.0,2004-10
Nov-04,26133.0,2004-11
Dec-04,105635.0,2004-12
Jan-05,22193.0,2005-01
Feb-05,18696.0,2005-02
Mar-05,35312.0,2005-03
Apr-05,34099.0,2005-04
May-05,38983.0,2005-05
Jun-05,98586.0,2005-06
Jul-05,40151.0,2005-07
Aug-05,36358.0,2005-08
Sep-05,39142.0,2005-09
Oct-05,17958.0,2005-10
Nov-05,27004.0,2005-11
Dec-05,26095.0,2005-12
Jan-06,53670.0,2006-01
Feb-06,57537.0,2006-02
Mar-06,69835.0,2006-03
Apr-06,18103.0,2006-04
May-06,54908.0,2006-05
Jun-06,50358.0,2006-06
Jul-06,22388.0,2006-07
Aug-06,66001.0,2006-08
Sep-06,30098.0,2006-09
Oct-06,14813.0,2006-10
Nov-06,63177.0,2006-11
Dec-06,34986.0,2006-12
Jan-07,75237.0,2007-01
Feb-07,12784.0,2007-02
Mar-07,13231.0,2007-03
Apr-07,23378.0,2007-04
May-07,17441.0,2007-05
Jun-07,62440.0,2007-06
Jul-07,32786.0,2007-07
Aug-07,45402.0,2007-08
Sep-07,27432.0,2007-09
Oct-07,32421.0,2007-10
Nov-07,45757.0,2007-11
Dec-07,7509.0,2007-12
Jan-08,16635.0,2008-01
Feb-08,19094.0,2008-02
Mar-08,14568.0,2008-03
Apr-08,7585.0,2008-04
May-08,67428.0,2008-05
Jun-08,83865.0,2008-06
Jul-08,46216.0,2008-07
Aug-08,30713.0,2008-08
Sep-08,10623.0,2008-09
Oct-08,50755.0,2008-10
Nov-08,4404.0,2008-11
Dec-08,20128.0,2008-12
Jan-09,6779.0,2009-01
Feb-09,44001.0,2009-02
Mar-09,20824.0,2009-03
Apr-09,24449.0,2009-04
May-09,17727.0,2009-05
Jun-09,20367.0,2009-06
Jul-09,54643.0,2009-07
Aug-09,104738.0,2009-08
Sep-09,12865.0,2009-09
Oct-09,12398.0,2009-10
Nov-09,22190.0,2009-11
Dec-09,56811.0,2009-12
Jan-10,32208.0,2010-01
Feb-10,18834.0,2010-02
Mar-10,36779.0,2010-03
Apr-10,15051.0,2010-04
May-10,95900.0,2010-05
Jun-10,13961.0,2010-06
Jul-10,31266.0,2010-07
Aug-10,89332.0,2010-08
Sep-10,6937.0,2010-09
Oct-10,98005.0,2010-10
Nov-10,48086.0,2010-11
Dec-10,13735.0,2010-12
Jan-11,15907.0,2011-01
Feb-11,14952.0,2011-02
Mar-11,21993.0,2011-03
Apr-11,38194.0,2011-04
May-11,42718.0,2011-05
Jun-11,33127.0,2011-06
Jul-11,45319.0,2011-07
Aug-11,21371.0,2011-08
Sep-11,21674.0,2011-09
Oct-11,8876.0,2011-10
Nov-11,114538.0,2011-11
Dec-11,43194.0,2011-12
Jan-12,9545.0,2012-01
Feb-12,20802.0,2012-02
Mar-12,49246.0,2012-03
Apr-12,62137.0,2012-04
May-12,208078.0,2012-05
Jun-12,56928.0,2012-06
Jul-12,23688.0,2012-07
Aug-12,47211.0,2012-08
Sep-12,41896.0,2012-09
Oct-12,17185.0,2012-10
Nov-12,65970.0,2012-11
Dec-12,26934.0,2012-12
Jan-13,52126.0,2013-01
Feb-13,27895.0,2013-02
Mar-13,8078.0,2013-03
Apr-13,16306.0,2013-04
May-13,26284.0,2013-05
Jun-13,24328.0,2013-06
Jul-13,40492.0,2013-07
Aug-13,22760.0,2013-08
Sep-13,76268.0,2013-09
Oct-13,12755.0,2013-10
Nov-13,18309.0,2013-11
