Month,Number of apartment units,Date
Jan-03,277.0,2003-01
Feb-03,54.0,2003-02
Mar-03,1071.0,2003-03
Apr-03,585.0,2003-04
May-03,180.0,2003-05
Jun-03,157.0,2003-06
Jul-03,1363.0,2003-07
Aug-03,544.0,2003-08
Sep-03,622.0,2003-09
Oct-03,736.0,2003-10
Nov-03,148.0,2003-11
Dec-03,823.0,2003-12
Jan-04,1157.0,2004-01
Feb-04,518.0,2004-02
Mar-04,537.0,2004-03
Apr-04,805.0,2004-04
May-04,479.0,2004-05
Jun-04,3054.0,2004-06
Jul-04,932.0,2004-07
Aug-04,468.0,2004-08
Sep-04,905.0,2004-09
Oct-04,403.0,2004-10
Nov-04,833.0,2004-11
Dec-04,496.0,2004-12
Jan-05,640.0,2005-01
Feb-05,200.0,2005-02
Mar-05,866.0,2005-03
Apr-05,746.0,2005-04
May-05,334.0,2005-05
Jun-05,1179.0,2005-06
Jul-05,1017.0,2005-07
Aug-05,1174.0,2005-08
Sep-05,1106.0,2005-09
Oct-05,1446.0,2005-10
Nov-05,689.0,2005-11
Dec-05,1568.0,2005-12
Jan-06,238.0,2006-01
Feb-06,375.0,2006-02
Mar-06,1427.0,2006-03
Apr-06,979.0,2006-04
May-06,1219.0,2006-05
Jun-06,1066.0,2006-06
Jul-06,574.0,2006-07
Aug-06,1176.0,2006-08
Sep-06,1223.0,2006-09
Oct-06,1079.0,2006-10
Nov-06,1960.0,2006-11
Dec-06,889.0,2006-12
Jan-07,1600.0,2007-01
Feb-07,677.0,2007-02
Mar-07,692.0,2007-03
Apr-07,2095.0,2007-04
May-07,2000.0,2007-05
Jun-07,1768.0,2007-06
Jul-07,1653.0,2007-07
Aug-07,1187.0,2007-08
Sep-07,586.0,2007-09
Oct-07,1558.0,2007-10
Nov-07,655.0,2007-11
Dec-07,904.0,2007-12
Jan-08,1030.0,2008-01
Feb-08,713.0,2008-02
Mar-08,789.0,2008-03
Apr-08,1138.0,2008-04
May-08,983.0,2008-05
Jun-08,789.0,2008-06
Jul-08,374.0,2008-07
Aug-08,787.0,2008-08
Sep-08,1020.0,2008-09
Oct-08,316.0,2008-10
Nov-08,305.0,2008-11
Dec-08,154.0,2008-12
Jan-09,75.0,2009-01
Feb-09,530.0,2009-02
Mar-09,249.0,2009-03
Apr-09,207.0,2009-04
May-09,139.0,2009-05
Jun-09,164.0,2009-06
Jul-09,427.0,2009-07
Aug-09,167.0,2009-08
Sep-09,555.0,2009-09
Oct-09,427.0,2009-10
Nov-09,722.0,2009-11
Dec-09,1303.0,2009-12
Jan-10,306.0,2010-01
Feb-10,318.0,2010-02
Mar-10,1044.0,2010-03
Apr-10,165.0,2010-04
May-10,431.0,2010-05
Jun-10,941.0,2010-06
Jul-10,498.0,2010-07
Aug-10,1224.0,2010-08
Sep-10,1854.0,2010-09
Oct-10,2088.0,2010-10
Nov-10,337.0,2010-11
Dec-10,681.0,2010-12
Jan-11,1067.0,2011-01
Feb-11,887.0,2011-02
Mar-11,485.0,2011-03
Apr-11,1128.0,2011-04
May-11,661.0,2011-05
Jun-11,1313.0,2011-06
Jul-11,615.0,2011-07
Aug-11,798.0,2011-08
Sep-11,967.0,2011-09
Oct-11,879.0,2011-10
Nov-11,1320.0,2011-11
Dec-11,779.0,2011-12
Jan-12,527.0,2012-01
Feb-12,575.0,2012-02
Mar-12,839.0,2012-03
Apr-12,656.0,2012-04
May-12,1707.0,2012-05
Jun-12,1472.0,2012-06
Jul-12,1762.0,2012-07
Aug-12,1157.0,2012-08
Sep-12,1167.0,2012-09
Oct-12,596.0,2012-10
Nov-12,886.0,2012-11
Dec-12,1005.0,2012-12
Jan-13,1208.0,2013-01
Feb-13,919.0,2013-02
Mar-13,939.0,2013-03
Apr-13,1819.0,2013-04
May-13,929.0,2013-05
Jun-13,1530.0,2013-06
Jul-13,943.0,2013-07
Aug-13,1162.0,2013-08
Sep-13,740.0,2013-09
Oct-13,738.0,2013-10
Nov-13,1708.0,2013-11
Dec-13,978.0,2013-12
Jan-14,1807.0,2014-01
Feb-14,791.0,2014-02
Mar-14,861.0,2014-03
Apr-14,519.0,2014-04
May-14,1202.0,2014-05
Jun-14,793.0,2014-06
Jul-14,1578.0,2014-07
Aug-14,1160.0,2014-08
Sep-14,1218.0,2014-09
Oct-14,1506.0,2014-10
Nov-14,775.0,2014-11
Dec-14,658.0,2014-12
Jan-15,698.0,2015-01
Feb-15,969.0,2015-02
Mar-15,2602.0,2015-03
Apr-15,1438.0,2015-04
May-15,1465.0,2015-05
Jun-15,1590.0,2015-06
Jul-15,2049.0,2015-07
Aug-15,1350.0,2015-08
Sep-15,1321.0,2015-09
Oct-15,1371.0,2015-10
Nov-15,1934.0,2015-11
Dec-15,1452.0,2015-12
Jan-16,1142.0,2016-01
Feb-16,531.0,2016-02
Mar-16,1529.0,2016-03
Apr-16,2059.0,2016-04
May-16,1354.0,2016-05
Jun-16,562.0,2016-06
Jul-16,960.0,2016-07
Aug-16,1411.0,2016-08
Sep-16,751.0,2016-09
Oct-16,1280.0,2016-10
Nov-16,2836.0,2016-11
Dec-16,888.0,2016-12
Jan-17,759.0,2017-01
Feb-17,2305.0,2017-02
Mar-17,1191.0,2017-03
Apr-17,800.0,2017-04
May-17,1955.0,2017-05
Jun-17,1836.0,2017-06
Jul-17,2716.0,2017-07
Aug-17,1267.0,2017-08
Sep-17,2109.0,2017-09
Oct-17,1960.0,2017-10
Nov-17,878.0,2017-11
Dec-17,2682.0,2017-12
Jan-18,798.0,2018-01
Feb-18,1526.0,2018-02
Mar-18,2032.0,2018-03
Apr-18,1142.0,2018-04
May-18,1756.0,2018-05
Jun-18,2192.0,2018-06
Jul-18,1594.0,2018-07
Aug-18,2620.0,2018-08
Sep-18,1298.0,2018-09
Oct-18,1778.0,2018-10
Nov-18,1209.0,2018-11
