Month,row dwelling units,Date
Jan-03,121,2003-01
Feb-03,148,2003-02
Mar-03,250,2003-03
Apr-03,99,2003-04
May-03,459,2003-05
Jun-03,385,2003-06
Jul-03,227,2003-07
Aug-03,177,2003-08
Sep-03,212,2003-09
Oct-03,178,2003-10
Nov-03,166,2003-11
Dec-03,150,2003-12
Jan-04,278,2004-01
Feb-04,491,2004-02
Mar-04,430,2004-03
Apr-04,223,2004-04
May-04,303,2004-05
Jun-04,571,2004-06
Jul-04,245,2004-07
Aug-04,417,2004-08
Sep-04,480,2004-09
Oct-04,269,2004-10
Nov-04,308,2004-11
Dec-04,236,2004-12
Jan-05,188,2005-01
Feb-05,292,2005-02
Mar-05,345,2005-03
Apr-05,519,2005-04
May-05,441,2005-05
Jun-05,207,2005-06
Jul-05,352,2005-07
Aug-05,219,2005-08
Sep-05,359,2005-09
Oct-05,166,2005-10
Nov-05,316,2005-11
Dec-05,238,2005-12
Jan-06,316,2006-01
Feb-06,149,2006-02
Mar-06,329,2006-03
Apr-06,94,2006-04
May-06,254,2006-05
Jun-06,607,2006-06
Jul-06,179,2006-07
Aug-06,224,2006-08
Sep-06,249,2006-09
Oct-06,325,2006-10
Nov-06,238,2006-11
Dec-06,296,2006-12
Jan-07,209,2007-01
Feb-07,69,2007-02
Mar-07,190,2007-03
Apr-07,145,2007-04
May-07,329,2007-05
Jun-07,154,2007-06
Jul-07,528,2007-07
Aug-07,286,2007-08
Sep-07,231,2007-09
Oct-07,422,2007-10
Nov-07,121,2007-11
Dec-07,178,2007-12
Jan-08,58,2008-01
Feb-08,219,2008-02
Mar-08,319,2008-03
Apr-08,276,2008-04
May-08,174,2008-05
Jun-08,368,2008-06
Jul-08,403,2008-07
Aug-08,145,2008-08
Sep-08,183,2008-09
Oct-08,144,2008-10
Nov-08,81,2008-11
Dec-08,32.0,2008-12
Jan-09,4.0,2009-01
Feb-09,208.0,2009-02
Mar-09,67.0,2009-03
Apr-09,66.0,2009-04
May-09,0,2009-05
Jun-09,107,2009-06
Jul-09,127,2009-07
Aug-09,173,2009-08
Sep-09,226,2009-09
Oct-09,72,2009-10
Nov-09,182,2009-11
Dec-09,139,2009-12
Jan-10,165,2010-01
Feb-10,203,2010-02
Mar-10,223,2010-03
Apr-10,201,2010-04
May-10,192,2010-05
Jun-10,589,2010-06
Jul-10,337,2010-07
Aug-10,288,2010-08
Sep-10,340,2010-09
Oct-10,279,2010-10
Nov-10,260,2010-11
Dec-10,174,2010-12
Jan-11,236,2011-01
Feb-11,64,2011-02
Mar-11,368,2011-03
Apr-11,169,2011-04
May-11,223,2011-05
Jun-11,254,2011-06
Jul-11,107,2011-07
Aug-11,275,2011-08
Sep-11,211,2011-09
Oct-11,191,2011-10
Nov-11,161,2011-11
Dec-11,161,2011-12
Jan-12,109,2012-01
Feb-12,328,2012-02
Mar-12,247,2012-03
Apr-12,182,2012-04
May-12,218,2012-05
Jun-12,242,2012-06
Jul-12,290,2012-07
Aug-12,161,2012-08
Sep-12,177,2012-09
Oct-12,219,2012-10
Nov-12,159,2012-11
Dec-12,108,2012-12
Jan-13,191,2013-01
Feb-13,214,2013-02
Mar-13,220,2013-03
Apr-13,246,2013-04
May-13,364,2013-05
Jun-13,321,2013-06
Jul-13,265,2013-07
Aug-13,344,2013-08
Sep-13,161,2013-09
Oct-13,237,2013-10
Nov-13,294,2013-11
Dec-13,339,2013-12
Jan-14,149,2014-01
Feb-14,82,2014-02
Mar-14,331,2014-03
