Month,totalNumber,Date
Jan-03,875.0,2003-01
Feb-03,604.0,2003-02
Mar-03,1804.0,2003-03
Apr-03,1184.0,2003-04
May-03,1265.0,2003-05
Jun-03,1112.0,2003-06
Jul-03,2090.0,2003-07
Aug-03,1175.0,2003-08
Sep-03,1378.0,2003-09
Oct-03,1412.0,2003-10
Nov-03,765.0,2003-11
Dec-03,1406.0,2003-12
Jan-04,1895.0,2004-01
Feb-04,1449.0,2004-02
Mar-04,1527.0,2004-03
Apr-04,1557.0,2004-04
May-04,1341.0,2004-05
Jun-04,4254.0,2004-06
Jul-04,1707.0,2004-07
Aug-04,1343.0,2004-08
Sep-04,1886.0,2004-09
Oct-04,1421.0,2004-10
Nov-04,1563.0,2004-11
Dec-04,1030.0,2004-12
Jan-05,1153.0,2005-01
Feb-05,826.0,2005-02
Mar-05,1706.0,2005-03
Apr-05,1678.0,2005-04
May-05,1281.0,2005-05
Jun-05,1847.0,2005-06
Jul-05,1844.0,2005-07
Aug-05,1962.0,2005-08
Sep-05,1954.0,2005-09
Oct-05,2057.0,2005-10
Nov-05,1467.0,2005-11
Dec-05,2242.0,2005-12
Jan-06,987.0,2006-01
Feb-06,1010.0,2006-02
Mar-06,2321.0,2006-03
Apr-06,1482.0,2006-04
May-06,1951.0,2006-05
Jun-06,2397.0,2006-06
Jul-06,1392.0,2006-07
Aug-06,1808.0,2006-08
Sep-06,1919.0,2006-09
Oct-06,1858.0,2006-10
Nov-06,2581.0,2006-11
Dec-06,1389.0,2006-12
Jan-07,2171.0,2007-01
Feb-07,1118.0,2007-02
Mar-07,1205.0,2007-03
Apr-07,2557.0,2007-04
May-07,2786.0,2007-05
Jun-07,2443.0,2007-06
Jul-07,2597.0,2007-07
Aug-07,1834.0,2007-08
Sep-07,1151.0,2007-09
Oct-07,2433.0,2007-10
Nov-07,1127.0,2007-11
Dec-07,1381.0,2007-12
Jan-08,1444.0,2008-01
Feb-08,1287.0,2008-02
Mar-08,1447.0,2008-03
Apr-08,1821.0,2008-04
May-08,1597.0,2008-05
Jun-08,1581.0,2008-06
Jul-08,1191.0,2008-07
Aug-08,1277.0,2008-08
Sep-08,1553.0,2008-09
Oct-08,730.0,2008-10
Nov-08,561.0,2008-11
Dec-08,292.0,2008-12
Jan-09,180.0,2009-01
Feb-09,894.0,2009-02
Mar-09,491.0,2009-03
Apr-09,470.0,2009-04
May-09,380.0,2009-05
Jun-09,565.0,2009-06
Jul-09,977.0,2009-07
Aug-09,699.0,2009-08
Sep-09,1231.0,2009-09
Oct-09,1004.0,2009-10
Nov-09,1319.0,2009-11
Dec-09,1818.0,2009-12
Jan-10,875.0,2010-01
Feb-10,883.0,2010-02
Mar-10,1753.0,2010-03
Apr-10,816.0,2010-04
May-10,1109.0,2010-05
Jun-10,2033.0,2010-06
Jul-10,1254.0,2010-07
Aug-10,1915.0,2010-08
Sep-10,2580.0,2010-09
Oct-10,2685.0,2010-10
Nov-10,848.0,2010-11
Dec-10,1063.0,2010-12
Jan-11,1517.0,2011-01
Feb-11,1240.0,2011-02
Mar-11,1188.0,2011-03
Apr-11,1751.0,2011-04
May-11,1248.0,2011-05
Jun-11,1964.0,2011-06
Jul-11,1093.0,2011-07
Aug-11,1494.0,2011-08
Sep-11,1500.0,2011-09
Oct-11,1382.0,2011-10
Nov-11,1819.0,2011-11
Dec-11,1188.0,2011-12
Jan-12,836.0,2012-01
Feb-12,1309.0,2012-02
Mar-12,1437.0,2012-03
Apr-12,1137.0,2012-04
May-12,2318.0,2012-05
Jun-12,2106.0,2012-06
Jul-12,2405.0,2012-07
Aug-12,1722.0,2012-08
Sep-12,1618.0,2012-09
Oct-12,1137.0,2012-10
Nov-12,1344.0,2012-11
Dec-12,1276.0,2012-12
Jan-13,1606.0,2013-01
Feb-13,1375.0,2013-02
Mar-13,1396.0,2013-03
Apr-13,2394.0,2013-04
May-13,1579.0,2013-05
Jun-13,2150.0,2013-06
Jul-13,1567.0,2013-07
Aug-13,1794.0,2013-08
Sep-13,1123.0,2013-09
