Neighborhood,Year,Season,Property Type,Bedrooms,Bathrooms,Year Built,Renovation Year,Garage Type,Square Footage (House),Square Footage (Land),Basement,Legal Units,Market Price
Kitsilano,2004,Spring,Triplex,1,3,1954,2000,double,1308,6742,Not Finished,2,1734587.4
Kitsilano,2004,Summer,Condo,3,1,2022,0,single,3947,2592,Finished,0,951731.62
Kitsilano,2004,Fall,House,4,1,2006,0,none,919,9519,Not Finished,2,1782016.8
Kitsilano,2004,Winter,Condo,2,2,1960,0,triple,2352,1555,Not Finished,2,335768.06
Kitsilano,2005,Spring,Duplex,5,2,1960,1992,none,2474,7031,Not Finished,0,1571528.42
Kitsilano,2005,Summer,Triplex,5,3,1994,2020,none,1431,5643,Finished,2,2123280.79
Kitsilano,2005,Fall,Duplex,1,3,1983,1995,none,975,2527,Finished,1,792153.77
Kitsilano,2005,Winter,Duplex,3,1,1984,2021,double,2354,4743,Finished,1,2301343.89
Kitsilano,2006,Spring,Condo,4,3,1989,2011,single,4752,6372,Not Finished,2,868930.38
Kitsilano,2006,Summer,Triplex,4,1,2018,0,none,3316,9974,Finished,2,860192.06
Kitsilano,2006,Fall,Duplex,3,1,2016,0,none,2827,1785,Not Finished,1,2369502.98
Kitsilano,2006,Winter,Condo,1,2,1972,2018,triple,4497,4310,Not Finished,2,347252.52
Kitsilano,2007,Spring,Duplex,4,1,2011,2021,single,1178,6984,Not Finished,2,1924005.91
Kitsilano,2007,Summer,Condo,2,1,1972,1992,double,4797,7797,Not Finished,1,533295.74
Kitsilano,2007,Fall,Condo,1,3,1999,2013,single,4277,7063,Not Finished,0,551741.34
Kitsilano,2007,Winter,Condo,3,1,1959,1993,none,2963,9805,Finished,2,801727.0
Kitsilano,2008,Spring,Condo,2,2,1965,2013,double,3687,4677,Finished,0,542542.68
Kitsilano,2008,Summer,Triplex,2,2,1974,0,double,1247,4564,Finished,2,1916970.18
Kitsilano,2008,Fall,Duplex,5,1,1953,1978,single,4412,3959,Finished,1,2508708.53
