Date,Benchmark,Residential Type
2025-01,"$695,700",Apartment
2025-01,"$971,100",Townhouse
2025-01,"$1,787,800",Detached
2025-01,"$1,102,400",Residential - All Types
2024-12,"$696,900",Apartment
2024-12,"$976,400",Townhouse
2024-12,"$1,781,100",Detached
2024-12,"$1,101,300",Residential - All Types
2024-11,"$699,800",Apartment
2024-11,"$981,000",Townhouse
2024-11,"$1,781,000",Detached
2024-11,"$1,103,100",Residential - All Types
2024-10,"$974,300",Townhouse
2024-10,"$1,103,600",Residential - All Types
2024-10,"$1,785,600",Detached
2024-10,"$704,500",Apartment
2024-09,"$708,400",Apartment
2024-09,"$970,200",Townhouse
2024-09,"$1,802,500",Detached
2024-09,"$1,110,900",Residential - All Types
2024-08,"$713,300",Apartment
2024-08,"$986,500",Townhouse
2024-08,"$1,826,500",Detached
2024-08,"$1,126,200",Residential - All Types
2024-07,"$714,400",Apartment
2024-07,"$990,500",Townhouse
2024-07,"$1,828,600",Detached
2024-07,"$1,129,300",Residential - All Types
2024-06,"$1,834,100",Detached
2024-06,"$1,136,100",Residential - All Types
2024-06,"$718,200",Apartment
2024-06,"$998,400",Townhouse
2024-05,"$721,200",Apartment
2024-05,"$1,003,600",Townhouse
2024-05,"$1,834,800",Detached
2024-05,"$1,140,600",Residential - All Types
2024-04,"$722,700",Apartment
2024-04,"$998,200",Townhouse
2024-04,"$1,816,800",Detached
2024-04,"$1,137,300",Residential - All Types
2024-03,"$988,300",Townhouse
2024-03,"$1,803,600",Detached
2024-03,"$1,132,200",Residential - All Types
2024-03,"$719,800",Apartment
2024-02,"$713,400",Apartment
2024-02,"$972,600",Townhouse
2024-02,"$1,764,000",Detached
2024-02,"$1,117,800",Residential - All Types
2024-01,"$706,300",Apartment
2024-01,"$954,900",Townhouse
2024-01,"$1,737,700",Detached
2024-01,"$1,103,600",Residential - All Types
2023-12,"$697,100",Apartment
2023-12,"$953,800",Townhouse
2023-12,"$1,742,000",Detached
2023-12,"$1,101,900",Residential - All Types
2023-11,"$969,200",Townhouse
2023-11,"$1,117,400",Residential - All Types
2023-11,"$1,759,200",Detached
2023-11,"$707,500",Apartment
2023-10,"$713,300",Apartment
2023-10,"$976,500",Townhouse
2023-10,"$1,775,000",Detached
2023-10,"$1,128,600",Residential - All Types
2023-09,"$712,300",Apartment
2023-09,"$977,900",Townhouse
2023-09,"$1,793,100",Detached
2023-09,"$1,137,900",Residential - All Types
2023-08,"$979,300",Townhouse
2023-08,"$1,796,700",Detached
2023-08,"$1,143,700",Residential - All Types
2023-08,"$715,300",Apartment
2023-07,"$716,900",Apartment
2023-07,"$981,300",Townhouse
2023-07,"$1,796,800",Detached
2023-07,"$1,147,700",Residential - All Types
2023-06,"$712,700",Apartment
2023-06,"$976,300",Townhouse
2023-06,"$1,776,800",Detached
2023-06,"$1,140,900",Residential - All Types
2023-05,"$705,300",Apartment
2023-05,"$958,600",Townhouse
2023-05,"$1,739,700",Detached
2023-05,"$1,123,300",Residential - All Types
2023-04,"$951,400",Townhouse
2023-04,"$1,106,300",Residential - All Types
2023-04,"$1,704,400",Detached
2023-04,"$696,500",Apartment
2023-03,"$681,100",Apartment
2023-03,"$929,100",Townhouse
2023-03,"$1,650,200",Detached
2023-03,"$1,076,600",Residential - All Types
2023-02,"$674,500",Apartment
2023-02,"$918,900",Townhouse
2023-02,"$1,622,100",Detached
2023-02,"$1,062,600",Residential - All Types
2023-01,"$1,047,700",Residential - All Types
2023-01,"$666,600",Apartment
2023-01,"$901,600",Townhouse
2023-01,"$1,597,000",Detached
2022-12,"$1,614,600",Detached
2022-12,"$1,051,200",Residential - All Types
2022-12,"$659,100",Apartment
2022-12,"$899,900",Townhouse
2022-11,"$667,500",Apartment
2022-11,"$913,600",Townhouse
2022-11,"$1,645,300",Detached
2022-11,"$1,068,800",Residential - All Types
2022-10,"$674,500",Apartment
2022-10,"$926,400",Townhouse
2022-10,"$1,678,800",Detached
2022-10,"$1,087,000",Residential - All Types
2022-09,"$935,000",Townhouse
2022-09,"$1,096,900",Residential - All Types
2022-09,"$676,500",Apartment
2022-09,"$1,697,700",Detached
2022-08,"$954,700",Townhouse
2022-08,"$1,124,300",Residential - All Types
2022-08,"$1,747,200",Detached
2022-08,"$687,800",Apartment
2022-07,"$701,900",Apartment
2022-07,"$986,100",Townhouse
2022-07,"$1,809,200",Detached
2022-07,"$1,158,800",Residential - All Types
2022-06,"$713,900",Apartment
2022-06,"$1,005,000",Townhouse
2022-06,"$1,866,000",Detached
2022-06,"$1,189,700",Residential - All Types
2022-05,"$726,900",Apartment
2022-05,"$1,030,300",Townhouse
2022-05,"$1,912,100",Detached
2022-05,"$1,219,000",Residential - All Types
2022-04,"$1,935,900",Detached
2022-04,"$1,231,600",Residential - All Types
2022-04,"$1,039,600",Townhouse
2022-04,"$726,000",Apartment
2022-03,"$722,600",Apartment
2022-03,"$1,036,800",Townhouse
2022-03,"$1,941,500",Detached
2022-03,"$1,233,800",Residential - All Types
2022-02,"$704,700",Apartment
2022-02,"$1,003,200",Townhouse
2022-02,"$1,903,700",Detached
2022-02,"$1,207,100",Residential - All Types
2022-01,"$676,500",Apartment
2022-01,"$948,400",Townhouse
2022-01,"$1,819,900",Detached
2022-01,"$1,153,700",Residential - All Types
2021-12,"$1,743,700",Detached
2021-12,"$1,107,300",Residential - All Types
2021-12,"$649,200",Apartment
2021-12,"$905,800",Townhouse
2021-11,"$641,300",Apartment
2021-11,"$885,600",Townhouse
2021-11,"$1,702,500",Detached
2021-11,"$1,085,400",Residential - All Types
2021-10,"$633,300",Apartment
2021-10,"$862,400",Townhouse
2021-10,"$1,664,900",Detached
2021-10,"$1,065,300",Residential - All Types
2021-09,"$626,600",Apartment
