Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
2005-01,100.0,100.0,100.0,100.0,100.0,100.0,351600,533800,420500,592700,286300,216100
2005-02,101.0,100.8,100.9,100.8,100.9,101.4,355100,538000,424200,597300,288900,219200
2005-03,102.2,101.6,101.8,101.5,101.9,103.8,359500,542300,427900,601800,291600,224300
2005-04,103.1,102.4,102.6,102.3,102.8,104.8,362600,546700,431600,606500,294300,226500
2005-05,104.1,103.2,103.5,103.1,103.8,106.2,366100,551000,435400,611200,297100,229400
2005-06,105.3,104.1,104.5,103.9,104.8,108.1,370100,555500,439300,615900,299900,233500
2005-07,106.5,105.3,105.9,105.1,106.1,109.2,374500,562200,445300,622900,303900,236000
2005-08,107.7,106.6,107.4,106.3,107.5,110.1,378700,569000,451500,630100,307900,238000
2005-09,109.8,107.9,108.9,107.5,109.0,114.3,386000,575900,457900,637300,312100,246900
2005-10,110.2,108.6,109.4,108.3,109.6,114.1,387600,579700,460200,641800,313800,246500
2005-11,110.8,109.3,110.0,109.0,110.2,114.3,389600,583500,462600,646300,315500,247100
2005-12,111.6,110.0,110.6,109.8,110.8,115.3,392300,587300,465000,650900,317300,249100
2006-01,114.1,112.3,112.8,112.0,113.0,118.5,401100,599200,474300,664100,323600,256100
2006-02,116.5,114.5,115.1,114.3,115.3,121.4,409700,611300,483800,677600,330100,262400
2006-03,118.9,116.9,117.4,116.7,117.6,123.9,418100,623800,493600,691500,336800,267800
2006-04,121.5,119.2,119.6,119.1,119.9,127.0,427100,636500,503000,705900,343200,274500
2006-05,123.9,121.7,121.9,121.6,122.2,129.3,435500,649600,512700,720800,349800,279400
2006-06,126.2,124.2,124.3,124.2,124.6,131.2,443600,663000,522600,736000,356600,283500
2006-07,127.4,125.2,124.8,125.3,125.5,132.9,447800,668100,524700,742600,359300,287300
2006-08,128.4,126.1,125.3,126.4,126.4,134.2,451500,673300,526900,749400,362000,290000
2006-09,129.4,127.1,125.9,127.6,127.4,135.2,455000,678600,529200,756200,364800,292200
2006-10,129.2,126.9,126.2,127.2,128.1,134.8,454400,677500,530600,753900,366800,291200
2006-11,129.0,126.8,126.5,126.8,128.9,133.9,453500,676600,532100,751700,368900,289300
2006-12,128.8,126.6,126.9,126.5,129.7,133.1,452800,675700,533600,749600,371200,287600
2007-01,130.8,128.5,128.5,128.5,130.7,135.8,460000,686100,540200,761900,374300,293400
2007-02,132.9,130.5,130.1,130.7,131.9,138.4,467200,696700,546900,774500,377600,299100
2007-03,134.9,132.5,131.7,132.9,133.0,140.7,474200,707500,553800,787500,380900,304100
2007-04,137.3,134.9,133.9,135.3,134.6,143.5,482600,720000,563000,801700,385500,310200
