Date,Area,Benchmark,Price Index
2005-01,Vancouver East,"$320,500",100.0
2005-01,Burnaby South,"$322,700",100.0
2005-01,Vancouver West,"$421,600",100.0
2005-01,West Vancouver,"$926,800",100.0
2005-01,New Westminster,"$218,500",100.0
2005-01,Coquitlam,"$318,300",100.0
2005-01,Burnaby North,"$300,100",100.0
2005-01,North Vancouver,"$429,500",100.0
2005-01,Richmond,"$303,700",100.0
2005-02,Richmond,"$305,500",100.6
2005-02,Burnaby South,"$325,500",100.9
2005-02,Vancouver East,"$323,900",101.1
2005-02,Vancouver West,"$428,100",101.5
2005-02,New Westminster,"$220,800",101.1
2005-02,North Vancouver,"$432,400",100.7
2005-02,Burnaby North,"$302,500",100.8
2005-02,Coquitlam,"$320,500",100.7
2005-02,West Vancouver,"$936,200",101.0
2005-03,Burnaby North,"$304,900",101.6
2005-03,Richmond,"$310,300",102.2
2005-03,New Westminster,"$223,200",102.2
2005-03,Coquitlam,"$322,800",101.4
2005-03,North Vancouver,"$440,300",102.5
2005-03,Vancouver West,"$435,100",103.2
2005-03,Vancouver East,"$327,300",102.1
2005-03,Burnaby South,"$328,400",101.8
2005-03,West Vancouver,"$945,700",102.0
2005-04,Burnaby North,"$307,300",102.4
2005-04,Richmond,"$312,300",102.8
2005-04,Burnaby South,"$331,200",102.6
2005-04,New Westminster,"$225,500",103.2
2005-04,North Vancouver,"$445,100",103.6
2005-04,Vancouver East,"$330,700",103.2
2005-04,West Vancouver,"$955,300",103.1
2005-04,Vancouver West,"$438,900",104.1
2005-04,Coquitlam,"$325,100",102.1
2005-05,Burnaby South,"$334,100",103.5
2005-05,New Westminster,"$227,900",104.3
2005-05,Vancouver East,"$334,200",104.3
2005-05,Richmond,"$313,700",103.3
2005-05,Burnaby North,"$309,700",103.2
2005-05,West Vancouver,"$965,000",104.1
2005-05,Vancouver West,"$445,000",105.6
2005-05,North Vancouver,"$449,300",104.6
2005-05,Coquitlam,"$327,400",102.9
2005-06,Coquitlam,"$329,700",103.6
2005-06,Vancouver East,"$337,800",105.4
2005-06,North Vancouver,"$451,900",105.2
2005-06,Burnaby South,"$337,100",104.5
2005-06,Richmond,"$317,000",104.4
2005-06,Burnaby North,"$312,200",104.0
2005-06,New Westminster,"$230,400",105.4
2005-06,West Vancouver,"$974,800",105.2
2005-06,Vancouver West,"$452,600",107.4
2005-07,West Vancouver,"$990,900",106.9
2005-07,Vancouver West,"$455,700",108.1
2005-07,Burnaby North,"$317,600",105.8
2005-07,Vancouver East,"$342,900",107.0
2005-07,New Westminster,"$232,300",106.3
2005-07,Burnaby South,"$341,700",105.9
2005-07,North Vancouver,"$457,900",106.6
2005-07,Coquitlam,"$333,100",104.6
2005-07,Richmond,"$321,500",105.9
2005-08,New Westminster,"$234,200",107.2
2005-08,West Vancouver,"$1,007,300",108.7
2005-08,North Vancouver,"$461,700",107.5
2005-08,Burnaby North,"$323,200",107.7
2005-08,Coquitlam,"$336,600",105.7
2005-08,Vancouver West,"$460,100",109.1
2005-08,Vancouver East,"$348,200",108.6
2005-08,Richmond,"$322,800",106.3
2005-08,Burnaby South,"$346,400",107.3
2005-09,Vancouver East,"$353,500",110.3
2005-09,Coquitlam,"$340,100",106.8
2005-09,West Vancouver,"$1,024,100",110.5
