Address,Price,Price Type,Latitude,Longitude,Beds,Baths,Date
"1208 - 159 2nd Avenue, Vancouver","859,900",For Sale,49.2695849,-123.1080183,2,1,11-Mar-25
"119 - 5725 Agronomy Road, Vancouver","968,000",For Sale,49.2643613,-123.2399744,2,2,11-Mar-25
"6563 Broadway Street, Burnaby","7,851,000",For Sale,49.2621125,-122.96829,4,3,11-Mar-25
"6605 Broadway Street, Burnaby","6,669,000",For Sale,49.2620134,-122.9676052,5,4,11-Mar-25
"1806 - 505 Nelson Street, Coquitlam","950,000",For Sale,49.2494204,-122.8649479,2,2,11-Mar-25
"1588 Charland Avenue, Coquitlam","170,000",For Sale,49.2479163,-122.8484242,4,1,11-Mar-25
"2111 - 1955 Alpha Way, Burnaby","659,900",For Sale,49.2668104,-123.0006967,3,2,11-Mar-25
"1680 Robson Street, Vancouver","149,900",For Sale,49.2899861,-123.1337179,,,10-Mar-25
"615 Kings Road, North Vancouver","2,940,000",For Sale,49.3371427,-123.0600323,6,5,10-Mar-25
"3372 Fleming Street, Vancouver","2,099,000",For Sale,49.2547557,-123.0706491,5,4,10-Mar-25
"1602 - 938 Smithe Street, Vancouver","998,000",For Sale,49.2816822,-123.1239141,4,4,10-Mar-25
"1161 - 8328 Capstan Way, Richmond","5,600,000",For Sale,49.1878359,-123.1303668,,,10-Mar-25
"11391 Confidential , Vancouver","499,000",For Sale,49.2827291,-123.1207375,,,10-Mar-25
"135 - 11300 No. 5 Road, Richmond","2,289,000",For Sale,49.1302578,-123.0915904,,,10-Mar-25
"606 - 5380 Oben Street, Vancouver","629,900",For Sale,49.2350637,-123.0264593,2,3,10-Mar-25
"1087 - 87 Nelson Street, Vancouver","3,250",For Rent,49.2746415,-123.1151479,1,1,10-Mar-25
"1602 - 3200 Corvette Way, Richmond","1,498,000",For Sale,49.1900977,-123.1331608,3,3,10-Mar-25
"71 - 6700 Rumble Street, Burnaby","1,230,000",For Sale,49.2142024,-122.9635728,4,3,10-Mar-25
"1905 - 550 Taylor Street, Vancouver","612,000",For Sale,49.27996,-123.1057286,1,1,10-Mar-25
"3542 Sawmill Crescent, Vancouver","998,000",For Sale,49.2057187,-123.0299577,2,2,10-Mar-25
"32 - 6100 Woodwards Road, Richmond","1,328,000",For Sale,49.1436497,-123.157783,2,3,10-Mar-25
"35 - 530 28th Avenue, Vancouver","3,000",For Rent,49.2456246,-123.0933757,1,1,10-Mar-25
"307 - 5058 Joyce Street, Vancouver","648,899",For Sale,49.2387388,-123.0311215,1,1,10-Mar-25
"1402 - 822 Homer Street, Vancouver","568,000",For Sale,49.2790402,-123.1172996,1,1,10-Mar-25
"27 - 8726 159 Street, Surrey","899,000",For Sale,49.1614811,-122.7816966,3,3,10-Mar-25
"1407 Strawline Hill Street , Coquitlam","2,499,800",For Sale,49.2984999,-122.738904,6,6,10-Mar-25
"2473 Marine Drive, West Vancouver","280,000",For Sale,49.3348673,-123.1814091,,,10-Mar-25
"103-3 - 4501 North Road, Burnaby","89,000",For Sale,49.2438969,-122.8940027,,,10-Mar-25
"108 - 3855 Henning Drive, Burnaby","339,000",For Sale,49.264307,-123.0203293,,,10-Mar-25
"139 - 555 12th Avenue, Vancouver","128,000",For Sale,49.2609881,-123.1164951,,,10-Mar-25
"2210 - 4500 Kingsway , Burnaby","228,000",For Sale,49.229066,-123.004956,,,10-Mar-25
"1104 - 888 Hamilton Street, Vancouver","3,280",For Rent,49.2780748,-123.1169092,1,1,10-Mar-25
"505 - 10788 No.5 Road, Richmond","599,000",For Sale,49.1343834,-123.0891868,1,1,10-Mar-25
"206 - 4933 Clarendon Street, Vancouver","998,000",For Sale,49.2394981,-123.0560367,3,2,10-Mar-25
"3491 Catalina Crescent, Richmond","1,038,000",For Sale,49.1913423,-123.1430542,0,1,10-Mar-25
"1576 Lodgepole Place, Coquitlam","2,277,000",For Sale,49.3034204,-122.7922407,5,4,10-Mar-25
"15930 20 Avenue, Surrey","1,170,000",For Sale,49.0380577,-122.7811479,3,2,10-Mar-25
"1808 - 1028 Barclay Street, Vancouver","1,200,000",For Sale,49.2822897,-123.1259317,2,2,10-Mar-25
"4 - 1767 152 Street, Surrey","720,000",For Sale,49.0337641,-122.801493,,,10-Mar-25
"8241 Brynlor Drive, Burnaby","2,288,000",For Sale,49.2085793,-122.9723411,7,4,10-Mar-25
"5 - 1640 162 Street, Surrey","699,900",For Sale,49.0319961,-122.7733691,3,2,10-Mar-25
"504 - 555 28th Street, North Vancouver","3,600",For Rent,49.3342371,-123.087226,2,2,10-Mar-25
"123 - 5800 Andrews Road, Richmond","888,000",For Sale,49.1214759,-123.1596098,2,1,10-Mar-25
"107 - 14333 104 Avenue, Surrey",35,For Rent,49.1917085,-122.8251193,,,10-Mar-25
"204 - 234 5th Avenue, Vancouver","829,900",For Sale,49.2660911,-123.0999376,,,10-Mar-25
"303 - 4933 Clarendon Street, Vancouver","888,000",For Sale,49.2394981,-123.0560367,2,2,10-Mar-25
"510 - 2888 Cambie Street, Vancouver","569,000",For Sale,49.25981,-123.1146858,0,1,10-Mar-25
"905 - 5639 Hampton Place, Vancouver","718,000",For Sale,49.2590832,-123.2330855,1,1,10-Mar-25
"9828 Belfriar Drive, Burnaby","1,058,000",For Sale,49.2452516,-122.8958144,3,2,10-Mar-25
"103 - 5775 Irmin Street, Burnaby","799,000",For Sale,49.2162115,-122.9811736,2,2,10-Mar-25
"1775 Sherlock Avenue, Burnaby","2,680,000",For Sale,49.2683091,-122.9567686,8,6,10-Mar-25
"1091 Esquimalt Avenue, West Vancouver","5,680,000",For Sale,49.3304532,-123.1453559,6,6,10-Mar-25
"1448 Sandhurst Place, West Vancouver","3,490,000",For Sale,49.3520592,-123.148057,6,5,10-Mar-25
"5339 Monte Bre Crescent, West Vancouver","3,550,000",For Sale,49.3488136,-123.2593093,5,4,10-Mar-25
"4 - 5115 Buxton Street, Burnaby","1,690,000",For Sale,49.2346533,-122.9902481,6,3,10-Mar-25
"3 - 5115 Buxton Street, Burnaby","1,690,000",For Sale,49.2346533,-122.9902481,4,6,10-Mar-25
"211 - 2222 Prince Edward Street, Vancouver","769,000",For Sale,49.2648404,-123.0953629,,,10-Mar-25
"25 - 9728 Alexandra Road, Richmond","1,243,000",For Sale,49.1787317,-123.11523,1,1,10-Mar-25
"111 - 6677 Cambie Street, Vancouver","699,999",For Sale,49.2243649,-123.1170539,3,3,10-Mar-25
"40 - 5191 Steveston Highway, Richmond","1,490,000",For Sale,49.1338937,-123.166232,4,4,10-Mar-25
"302 - 2200 Douglas Road, Burnaby","699,888",For Sale,49.2642416,-122.9899479,2,1,10-Mar-25
"1004 - 1401 Hunter Street, North Vancouver","778,000",For Sale,49.310499,-123.0347028,1,1,10-Mar-25
"6116 Oak Street, Vancouver","1,890,000",For Sale,49.2301302,-123.1280447,3,3,10-Mar-25
"201 - 1675 Lions Gate Lane, North Vancouver","728,000",For Sale,49.3254849,-123.1226258,1,1,10-Mar-25
"1010 - 7288 Acorn Avenue, Burnaby","725,000",For Sale,49.2172543,-122.9552242,2,2,10-Mar-25
"205 - 1785 Esquimalt Avenue, West Vancouver","535,000",For Sale,49.3308936,-123.1619334,1,1,10-Mar-25
"111 - 4933 Clarendon Street, Vancouver","798,000",For Sale,49.2394981,-123.0560367,2,2,10-Mar-25
"28 - 14959 58 Avenue, Surrey","999,999",For Sale,49.1083862,-122.8085154,3,3,10-Mar-25
"101 - 3188 Riverwalk Avenue, Vancouver","1,198,000",For Sale,49.2053271,-123.0389071,3,2,10-Mar-25
"411 - 1450 Pennyfarthing Drive, Vancouver","1,184,000",For Sale,49.2726319,-123.1417658,2,2,10-Mar-25
"2608 - 198 Aquarius Mews, Vancouver","1,490,000",For Sale,49.2741606,-123.1195035,2,2,10-Mar-25
"3304 Mayfair Avenue, Vancouver","1,898,000",For Sale,49.236887,-123.1790349,3,3,10-Mar-25
"10125 Elderberry Crescent, Surrey","1,757,142",For Sale,49.186378,-122.7297781,4,5,10-Mar-25
"2 - 3268 15th Avenue, Vancouver","2,638,000",For Sale,49.2585831,-123.1774793,3,3,10-Mar-25
"104 - 2320 Emery Court, North Vancouver","1,499,900",For Sale,49.3304447,-123.0402086,3,3,10-Mar-25
"702 - 3451 Sawmill Crescent, Vancouver","1,250,000",For Sale,49.2065741,-123.0326264,2,3,10-Mar-25
"202 - 1850 Lorne Street, Vancouver","874,900",For Sale,49.268271,-123.0998316,1,2,10-Mar-25
"87 - 14151 58a Avenue, Surrey","799,999",For Sale,49.1095246,-122.8301458,2,2,10-Mar-25
"521 20th Avenue, Vancouver","2,798,000",For Sale,49.2533903,-123.1155343,3,3,10-Mar-25
"7339 Burnham Court, Burnaby","2,888,000",For Sale,49.2602963,-122.9464786,4,3,10-Mar-25
"7380 Parkwood Drive, Surrey","1,275,000",For Sale,49.1371436,-122.8659519,7,4,10-Mar-25
"3 - 762 10th Avenue, Vancouver","2,550",For Rent,49.261336,-123.0877284,1,1,10-Mar-25
"254 Keith Road, North Vancouver","6,500",For Rent,49.3149443,-123.0681034,5,3,10-Mar-25
"2 - 5115 Buxton Street, Burnaby","2,499,000",For Sale,49.2346533,-122.9902481,5,6,10-Mar-25
"411 - 4933 Clarendon Street, Vancouver","898,000",For Sale,49.2394981,-123.0560367,2,2,10-Mar-25
"405 - 3639 16 Avenue, Vancouver","1,780,000",For Sale,49.2581209,-123.1848001,2,3,10-Mar-25
"106 - 1450 Laburnum Street, Vancouver","648,000",For Sale,49.2730282,-123.151068,1,1,10-Mar-25
"2209 - 3663 Crowley Drive, Vancouver","749,000",For Sale,49.2353569,-123.0271018,2,2,10-Mar-25
"301 - 7139 18 Avenue, Burnaby","619,000",For Sale,49.2154573,-122.9552799,1,1,10-Mar-25
"25 - 16760 61 Avenue, Surrey","849,000",For Sale,49.1120206,-122.7593519,2,4,10-Mar-25
"3288 23rd Avenue, Vancouver","3,998,000",For Sale,49.2517595,-123.1778099,4,5,10-Mar-25
"5538 184 Street, Surrey","2,889,000",For Sale,49.1029426,-122.7122965,5,3,10-Mar-25
"5377 Lane Street, Burnaby","649,000",For Sale,49.2226131,-122.9855474,,,10-Mar-25
"210 - 615 Cottonwood Avenue, Coquitlam","788,000",For Sale,49.259002,-122.8855243,2,2,10-Mar-25
"1708 - 9133 Hemlock Drive, Richmond","848,000",For Sale,49.1672621,-123.1230903,2,2,10-Mar-25
"1602 - 1495 Richards Street, Vancouver","1,399,000",For Sale,49.2736071,-123.1281418,2,2,10-Mar-25
"1 - 9131 Williams Road, Richmond","1,439,900",For Sale,49.1409669,-123.1231684,3,3,10-Mar-25
"1010 24th Avenue, Vancouver","884,000",For Sale,49.248907,-123.0835355,1,1,10-Mar-25
"7361 Liard Place, Vancouver","799,000",For Sale,49.2180292,-123.0258608,3,1,10-Mar-25
"940 Seymour Street, Vancouver","168,000",For Sale,49.2791099,-123.120886,,,10-Mar-25
"2230 Lloyd Avenue, North Vancouver","135,000",For Sale,49.330343,-123.104546,,,10-Mar-25
"15423 Madrona Drive, Surrey","1,288,888",For Sale,49.0413322,-122.7951652,2,2,10-Mar-25
"15869 Yorkshire Place, Surrey","799,000",For Sale,49.0411212,-122.7829527,3,2,10-Mar-25
"4570 Woodgreen Court, West Vancouver","3,598,000",For Sale,49.35222,-123.2443171,3,2,10-Mar-25
"7626 Hedley Avenue, Burnaby","2,990,000",For Sale,49.2143892,-122.9669805,7,5,10-Mar-25
"2146 7th Avenue, Vancouver","1,979,000",For Sale,49.2639087,-123.0609785,2,1,10-Mar-25
"15556 96b Avenue, Surrey","1,199,900",For Sale,49.1775983,-122.7912528,3,2,10-Mar-25
"906 - 6351 Buswell Street, Richmond","769,000",For Sale,49.1679288,-123.1344812,2,2,10-Mar-25
"3002 - 7088 18th Avenue, Burnaby","799,800",For Sale,49.2132822,-122.9566475,2,2,10-Mar-25
"145 - 2035 Glenaire Drive, North Vancouver","1,199,900",For Sale,49.3279976,-123.1218647,3,2,10-Mar-25
"709 - 2770 Sophia Street, Vancouver","874,900",For Sale,49.2603935,-123.0976785,1,1,10-Mar-25
"4101 - 2388 Madison Avenue, Burnaby","1,288,000",For Sale,49.2628193,-123.0084224,2,2,10-Mar-25
"111 - 3660 Vanness Avenue, Vancouver","449,900",For Sale,49.234974,-123.025186,0,1,10-Mar-25
"1301 - 4880 Lougheed Highway, Burnaby","699,000",For Sale,49.2652118,-122.9944925,1,1,10-Mar-25
"3105 - 1283 Howe Street, Vancouver","869,000",For Sale,49.2771293,-123.1286393,2,2,10-Mar-25
"52 - 9566 Tomicki Avenue, Richmond","1,148,000",For Sale,49.180015,-123.1165448,3,3,10-Mar-25
"312 - 6420 Buswell Street, Richmond","259,000",For Sale,49.1672857,-123.1327593,1,1,10-Mar-25
"205 - 13931 Fraser Highway, Surrey","489,800",For Sale,49.1800882,-122.8369062,1,1,10-Mar-25
"5517 188a Street, Surrey","2,169,999",For Sale,49.102583,-122.7008176,7,6,10-Mar-25
"11240 Granville Avenue, Richmond","2,990,000",For Sale,49.1625486,-123.0990856,7,5,10-Mar-25
"7568 149 Street, Surrey","2,450,000",For Sale,49.140433,-122.80987,11,8,10-Mar-25
"12669 96 Avenue, Surrey","1,350,000",For Sale,49.1774044,-122.8716309,3,2,10-Mar-25
"1105 - 1601 Quebec Street, Vancouver","1,750,000",For Sale,49.2715566,-123.1027944,2,2,10-Mar-25
"5531 Slocan Street, Vancouver","1,799,000",For Sale,49.2346069,-123.054594,4,4,10-Mar-25
"1607 - 1495 Richards Street, Vancouver","729,900",For Sale,49.2736071,-123.1281418,1,1,10-Mar-25
"110 - 8391 Bennett Road, Richmond","299,999",For Sale,49.1613272,-123.1313972,1,1,10-Mar-25
"312 - 9880 Manchester Drive, Burnaby","515,000",For Sale,49.2458546,-122.8984126,2,1,10-Mar-25
"1986 8th Avenue, Vancouver","1,799,900",For Sale,49.2630129,-123.0643121,3,2,10-Mar-25
"14163 60a Avenue, Surrey","1,999,000",For Sale,49.1130484,-122.8300715,7,7,10-Mar-25
"2932 Brixham Road, North Vancouver","1,950,000",For Sale,49.315419,-122.993188,4,3,10-Mar-25
"1108 - 63 Keefer Place, Vancouver","849,800",For Sale,49.2797904,-123.1063697,2,2,10-Mar-25
"1205 - 3280 Corvette Way, Richmond","1,449,000",For Sale,49.1897287,-123.133568,3,3,10-Mar-25
