Unnamed: 0,Address,Price,Price Type,Latitude,Longitude,Beds,Baths,Date,Neighborhood,Beds_Category,Price Tag
0,"1208 - 159 2nd Avenue, Vancouver",859900.0,For Sale,49.2695849,-123.1080183,2.0,1.0,11-Mar-25,Mount Pleasant,2.0,Lower priced
1,"119 - 5725 Agronomy Road, Vancouver",968000.0,For Sale,49.2643613,-123.2399744,2.0,2.0,11-Mar-25,others,2.0,Fair price
2,"6563 Broadway Street, Burnaby",7851000.0,For Sale,49.2621125,-122.96829,4.0,3.0,11-Mar-25,Burnaby,4+,Over priced
3,"6605 Broadway Street, Burnaby",6669000.0,For Sale,49.2620134,-122.9676052,5.0,4.0,11-Mar-25,Burnaby,4+,Over priced
4,"1806 - 505 Nelson Street, Coquitlam",950000.0,For Sale,49.2494204,-122.8649479,2.0,2.0,11-Mar-25,Coquitlam,2.0,Fair price
5,"1588 Charland Avenue, Coquitlam",170000.0,For Sale,49.2479163,-122.8484242,4.0,1.0,11-Mar-25,Coquitlam,4+,Lower priced
6,"2111 - 1955 Alpha Way, Burnaby",659900.0,For Sale,49.2668104,-123.0006967,3.0,2.0,11-Mar-25,Burnaby,3.0,Lower priced
8,"615 Kings Road, North Vancouver",2940000.0,For Sale,49.3371427,-123.0600323,6.0,5.0,10-Mar-25,others,4+,Fair price
9,"3372 Fleming Street, Vancouver",2099000.0,For Sale,49.2547557,-123.0706491,5.0,4.0,10-Mar-25,Kensington-Cedar Cottage,4+,Fair price
10,"1602 - 938 Smithe Street, Vancouver",998000.0,For Sale,49.2816822,-123.1239141,4.0,4.0,10-Mar-25,Downtown,4+,Fair price
14,"606 - 5380 Oben Street, Vancouver",629900.0,For Sale,49.2350637,-123.0264593,2.0,3.0,10-Mar-25,Renfrew-Collingwood,2.0,Lower priced
16,"1602 - 3200 Corvette Way, Richmond",1498000.0,For Sale,49.1900977,-123.1331608,3.0,3.0,10-Mar-25,Richmond,3.0,Fair price
17,"71 - 6700 Rumble Street, Burnaby",1230000.0,For Sale,49.2142024,-122.9635728,4.0,3.0,10-Mar-25,Burnaby,4+,Lower priced
18,"1905 - 550 Taylor Street, Vancouver",612000.0,For Sale,49.27996,-123.1057286,1.0,1.0,10-Mar-25,Downtown,1.0,Lower priced
