Date,AvgMonthlyEarnings
2015-03,3854.44
2015-04,3777.58
2015-05,3842.79
2015-06,3844.52
2015-07,3813.56
2015-08,3787.15
2015-09,3797.28
2015-10,3839.15
2015-11,3840.88
2015-12,3911.29
2016-01,3850.41
2016-02,3919.6
2016-03,3858.25
2016-04,3916.83
2016-05,3890.12
2016-06,3889.77
2016-07,3839.58
2016-08,3851.28
2016-09,3853.22
2016-10,3866.0
2016-11,3918.13
2016-12,4010.84
2017-01,3958.36
2017-02,3977.32
2017-03,3962.21
2017-04,3958.83
2017-05,3972.34
2017-06,4002.18
2017-07,3897.91
2017-08,3884.53
2017-09,4002.61
2017-10,4009.1
2017-11,3989.71
2017-12,4141.39
2018-01,4056.21
2018-02,4092.67
2018-03,4092.59
2018-04,4021.92
2018-05,4013.22
2018-06,4116.62
2018-07,4047.38
2018-08,4083.36
2018-09,4079.64
2018-10,4131.38
2018-11,4138.22
2018-12,4192.05
2019-01,4096.14
2019-02,4138.09
2019-03,4208.46
2019-04,4186.68
2019-05,4215.86
2019-06,4183.21
2019-07,4143.29
2019-08,4187.02
2019-09,4205.47
2019-10,4240.72
2019-11,4283.15
2019-12,4349.48
2020-01,4324.85
2020-02,4332.38
2020-03,4370.75
2020-04,4628.73
2020-05,4769.41
2020-06,4651.76
2020-07,4551.26
2020-08,4547.97
2020-09,4584.08
2020-10,4610.97
2020-11,4627.51
2020-12,4711.43
2021-01,4729.53
2021-02,4717.79
2021-03,4689.0
2021-04,4669.9
2021-05,4716.06
2021-06,4685.36
2021-07,4725.37
2021-08,4757.63
2021-09,4722.12
2021-10,4791.4
2021-11,4755.08
2021-12,4831.93
2022-01,4889.44
2022-02,4866.23
2022-03,4868.35
2022-04,4904.24
2022-05,4883.89
2022-06,4878.87
2022-07,4827.52
2022-08,4861.72
2022-09,4867.27
2022-10,4883.5
2022-11,4915.63
2022-12,4911.22
2023-01,5014.49
2023-02,4949.49
2023-03,5019.86
2023-04,5051.72
2023-05,5097.75
2023-06,5071.17
2023-07,5088.66
2023-08,5069.82
2023-09,5183.1
2023-10,5147.07
2023-11,5155.95
2023-12,5271.17
2024-01,5299.96
2024-02,5244.11
2024-03,5320.53
2024-04,5299.01
2024-05,5327.03
2024-06,5334.82
2024-07,5355.0
2024-08,5372.62
2024-09,5398.82
2024-10,5352.18
2024-11,5429.56
2024-12,5471.82
2025-01,5507.41
