Date,Benchmark,Price Index,1 Month +/-,6 Month +/-,1 Year +/-,3 Year +/-,5 Year +/-,Residential Type,Rate,Category,CPI_Value,AvgMonthlyEarnings,Unemployment_rate,Number of Commercial Building Permits,Number of Industrial Building Permits,Number of Institutional and Government Building Permits,Number of single dwelling units,Number of apartment units,row dwelling units,totalNumber
2025-01,695700.0,349.1,-0.2,-2.6,-1.5,2.9,25.3,Apartment,3.23,All-items,156.0,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,695700.0,349.1,-0.2,-2.6,-1.5,2.9,25.3,Apartment,3.23,Shelter,163.3,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,695700.0,349.1,-0.2,-2.6,-1.5,2.9,25.3,Apartment,3.23,All-items excluding food and energy,146.1,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,971100.0,370.8,-0.5,-2.0,1.7,2.4,43.8,Townhouse,3.23,All-items,156.0,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,971100.0,370.8,-0.5,-2.0,1.7,2.4,43.8,Townhouse,3.23,Shelter,163.3,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,971100.0,370.8,-0.5,-2.0,1.7,2.4,43.8,Townhouse,3.23,All-items excluding food and energy,146.1,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,1787800.0,392.4,0.4,-2.2,2.9,-1.8,44.9,Detached,3.23,All-items,156.0,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,1787800.0,392.4,0.4,-2.2,2.9,-1.8,44.9,Detached,3.23,Shelter,163.3,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,1787800.0,392.4,0.4,-2.2,2.9,-1.8,44.9,Detached,3.23,All-items excluding food and energy,146.1,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,1102400.0,336.5,0.1,-2.4,-0.1,-4.5,33.5,Residential - All Types,3.23,All-items,156.0,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,1102400.0,336.5,0.1,-2.4,-0.1,-4.5,33.5,Residential - All Types,3.23,Shelter,163.3,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2025-01,1102400.0,336.5,0.1,-2.4,-0.1,-4.5,33.5,Residential - All Types,3.23,All-items excluding food and energy,146.1,5507.41,6.3,174341.0,16577.0,84656.0,96.0,2038.0,271,2410.0
2024-12,696900.0,349.7,-0.4,-3.0,0.0,7.4,27.5,Apartment,3.43,All-items,156.1,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,696900.0,349.7,-0.4,-3.0,0.0,7.4,27.5,Apartment,3.43,Shelter,163.0,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,696900.0,349.7,-0.4,-3.0,0.0,7.4,27.5,Apartment,3.43,All-items excluding food and energy,146.6,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,976400.0,372.8,-0.5,-2.2,2.4,7.8,45.8,Townhouse,3.43,All-items,156.1,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,976400.0,372.8,-0.5,-2.2,2.4,7.8,45.8,Townhouse,3.43,Shelter,163.0,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,976400.0,372.8,-0.5,-2.2,2.4,7.8,45.8,Townhouse,3.43,All-items excluding food and energy,146.6,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,1781100.0,390.9,0.0,-2.9,2.2,2.1,45.4,Detached,3.43,All-items,156.1,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,1781100.0,390.9,0.0,-2.9,2.2,2.1,45.4,Detached,3.43,Shelter,163.0,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,1781100.0,390.9,0.0,-2.9,2.2,2.1,45.4,Detached,3.43,All-items excluding food and energy,146.6,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,1101300.0,336.2,-0.1,-3.1,-0.1,-0.5,34.9,Residential - All Types,3.43,All-items,156.1,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,1101300.0,336.2,-0.1,-3.1,-0.1,-0.5,34.9,Residential - All Types,3.43,Shelter,163.0,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-12,1101300.0,336.2,-0.1,-3.1,-0.1,-0.5,34.9,Residential - All Types,3.43,All-items excluding food and energy,146.6,5471.82,5.9,189491.0,12649.0,248382.0,67.0,3581.0,536,4190.0
2024-11,699800.0,351.1,-0.7,-3.0,-1.1,9.1,28.5,Apartment,3.75,All-items,156.3,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,699800.0,351.1,-0.7,-3.0,-1.1,9.1,28.5,Apartment,3.75,Shelter,163.0,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,699800.0,351.1,-0.7,-3.0,-1.1,9.1,28.5,Apartment,3.75,All-items excluding food and energy,146.4,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,981000.0,374.6,0.7,-2.2,1.2,10.8,47.5,Townhouse,3.75,All-items,156.3,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,981000.0,374.6,0.7,-2.2,1.2,10.8,47.5,Townhouse,3.75,Shelter,163.0,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,981000.0,374.6,0.7,-2.2,1.2,10.8,47.5,Townhouse,3.75,All-items excluding food and energy,146.4,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,1781000.0,390.9,-0.3,-2.9,1.2,4.6,45.7,Detached,3.75,All-items,156.3,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,1781000.0,390.9,-0.3,-2.9,1.2,4.6,45.7,Detached,3.75,Shelter,163.0,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,1781000.0,390.9,-0.3,-2.9,1.2,4.6,45.7,Detached,3.75,All-items excluding food and energy,146.4,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,1103100.0,336.7,-0.1,-3.3,-1.3,1.6,35.5,Residential - All Types,3.75,All-items,156.3,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
2024-11,1103100.0,336.7,-0.1,-3.3,-1.3,1.6,35.5,Residential - All Types,3.75,Shelter,163.0,5429.56,5.7,168247.0,21022.0,105233.0,59.0,359.0,53,481.0
