Neighborhood,Beds_Category,Percentage,mean,median,q25,q75,q100
Arbutus Ridge,1.0,0.030057108506161705,758800.0,758800.0,758800.0,758800.0,758800.0
Arbutus Ridge,2.0,0.15028554253080853,1452600.0,1168000.0,1098000.0,1450000.0,2499000.0
Arbutus Ridge,3.0,0.15028554253080853,2160400.0,1798000.0,1428000.0,2588000.0,3990000.0
Arbutus Ridge,4+,0.12022843402464682,4307450.0,4289900.0,3962350.0,4635000.0,4800000.0
Burnaby,0.0,0.030057108506161705,1150000.0,1150000.0,1150000.0,1150000.0,1150000.0
Burnaby,1.0,2.735196874060715,668618.2747252748,635000.0,591500.0,699000.0,1234900.0
Burnaby,2.0,4.628794709948903,943492.2597402597,836500.0,740850.0,949666.0,3188800.0
Burnaby,3.0,1.7132551848512172,1226343.8070175438,999999.0,799000.0,1336000.0,3980000.0
Burnaby,4+,2.5849113315299066,2452901.988372093,2350000.0,1746250.0,2880000.0,7851000.0
Burnaby,nan,0.39074241058010223,998753.8461538461,649000.0,329000.0,1198000.0,3568000.0
Coquitlam,0.0,0.06011421701232341,489900.0,489900.0,459900.0,519900.0,549900.0
Coquitlam,1.0,1.4427412082957618,727949.75,594500.0,548750.0,704000.0,2298000.0
Coquitlam,2.0,2.8854824165915236,885832.0104166666,799000.0,698750.0,954500.0,2299000.0
Coquitlam,3.0,1.8034265103697025,1201251.4166666667,1149500.0,891750.0,1289999.25,4700000.0
Coquitlam,4+,2.5247971145175834,1887033.9404761905,1767000.0,1398000.0,2277750.0,4999000.0
Coquitlam,nan,0.2705139765554554,1113733.3333333333,1088000.0,589900.0,1558800.0,2099000.0
Delta,1.0,0.09017132551848511,904633.0,729900.0,707449.5,1014450.0,1299000.0
Delta,2.0,0.4207995190862639,791184.0,632500.0,584924.75,773725.0,1749000.0
Delta,3.0,0.39074241058010223,1344361.5384615385,1399000.0,1249800.0,1500000.0,1999000.0
Delta,4+,1.0820559062218216,1705352.7222222222,1606500.0,1432425.0,1824425.0,2598000.0
Delta,nan,0.15028554253080853,1542380.0,1549000.0,1149900.0,1595000.0,2420000.0
Downtown,0.0,0.24045686804929364,665112.5,625000.0,481725.0,729000.0,1225000.0
Downtown,1.0,2.3143973549744516,823509.7922077922,699000.0,628000.0,756000.0,7590000.0
Downtown,2.0,3.005710850616171,1303201.09,1085000.0,836722.0,1520500.0,4598000.0
Downtown,3.0,0.8716561466786895,2435258.620689655,1199000.0,699900.0,2198000.0,21000000.0
Downtown,4+,0.4207995190862639,3970785.714285714,998000.0,679250.0,1339000.0,39880000.0
Downtown,nan,0.6011421701232341,688585.0,288950.0,96000.0,1143750.0,4100000.0
Dunbar-Southlands,1.0,0.030057108506161705,988800.0,988800.0,988800.0,988800.0,988800.0
Dunbar-Southlands,2.0,0.24045686804929364,2036874.875,1999000.0,1371749.75,2432500.0,3999000.0
Dunbar-Southlands,3.0,0.3306281935677788,2988618.1818181816,2398000.0,2188900.0,3438000.0,5690000.0
Dunbar-Southlands,4+,0.6913134956417193,3952043.4782608696,3499000.0,2724000.0,4590000.0,7980000.0
Fairview,1.0,0.4508566275924256,859299.9333333333,729000.0,689950.0,824900.0,2048000.0
Fairview,2.0,0.7814848211602045,1029165.3846153846,1033500.0,824750.0,1244750.0,1590000.0
Fairview,3.0,0.2705139765554554,1587000.0,1599000.0,1298000.0,1998000.0,2299000.0
Fairview,4+,0.030057108506161705,999999.0,999999.0,999999.0,999999.0,999999.0
Fairview,nan,0.06011421701232341,198500.0,198500.0,163250.0,233750.0,269000.0
Grandview-Woodland,0.0,0.030057108506161705,599900.0,599900.0,599900.0,599900.0,599900.0
Grandview-Woodland,1.0,0.2705139765554554,646933.3333333334,585000.0,499000.0,622500.0,1200000.0
Grandview-Woodland,2.0,0.24045686804929364,1531987.375,1424949.5,1186250.0,1882250.0,2800000.0
Grandview-Woodland,3.0,0.24045686804929364,1534350.0,1774450.0,1280750.0,1934000.0,2195000.0
Grandview-Woodland,4+,0.18034265103697023,1578483.3333333333,1662450.0,1268750.0,1923475.0,2199000.0
Hastings-Sunrise,1.0,0.15028554253080853,1323579.8,1629000.0,599999.0,1899000.0,1960000.0
Hastings-Sunrise,2.0,0.12022843402464682,1375697.0,1368944.0,1119750.0,1624891.0,1999900.0
Hastings-Sunrise,3.0,0.3306281935677788,1849363.5454545454,1599000.0,1549500.0,1997499.5,3098000.0
Hastings-Sunrise,4+,0.4809137360985873,2162423.4375,1993500.0,1721925.0,2711722.0,3580000.0
Hastings-Sunrise,nan,0.030057108506161705,1999999.0,1999999.0,1999999.0,1999999.0,1999999.0
Kensington-Cedar Cottage,0.0,0.030057108506161705,664900.0,664900.0,664900.0,664900.0,664900.0
Kensington-Cedar Cottage,1.0,0.21039975954313195,994371.4285714285,798000.0,689450.0,1216950.0,1850000.0
Kensington-Cedar Cottage,2.0,0.30057108506161706,1080390.0,1047450.0,858000.0,1313750.0,1660000.0
Kensington-Cedar Cottage,3.0,0.36068530207394045,1645799.0,1643950.0,1399675.0,1733475.0,2890000.0
Kensington-Cedar Cottage,4+,0.39074241058010223,2015298.3846153845,1899000.0,1699000.0,2198000.0,3288880.0
Kerrisdale,1.0,0.06011421701232341,1689000.0,1689000.0,1234500.0,2143500.0,2598000.0
Kerrisdale,2.0,0.15028554253080853,3948077.8,3880000.0,1738000.0,5443389.0,7980000.0
Kerrisdale,3.0,0.030057108506161705,4795000.0,4795000.0,4795000.0,4795000.0,4795000.0
Kerrisdale,4+,0.3306281935677788,4393058.181818182,3598000.0,2678000.0,5172820.0,9388000.0
Kerrisdale,nan,0.06011421701232341,1135000.0,1135000.0,792500.0,1477500.0,1820000.0
Killarney,1.0,0.18034265103697023,661148.3333333334,584995.0,540500.0,643672.5,1070000.0
Killarney,2.0,0.4207995190862639,904321.4285714285,844000.0,788800.0,896250.0,1695000.0
Killarney,3.0,0.21039975954313195,914684.0,849000.0,779000.0,1068944.0,1198000.0
Killarney,4+,0.18034265103697023,1963983.1666666667,1949499.5,999924.75,2920750.0,3388000.0
Kitsilano,1.0,0.5710850616170725,758284.2105263158,764900.0,698500.0,813500.0,926800.0
Kitsilano,2.0,0.6311992786293958,1082295.238095238,998000.0,879000.0,1329000.0,1600000.0
Kitsilano,3.0,0.3306281935677788,1703690.9090909092,1388000.0,1059900.0,2298000.0,3488000.0
Kitsilano,4+,0.2705139765554554,2309666.5555555555,2099000.0,1899999.0,2998000.0,3095000.0
Kitsilano,nan,0.06011421701232341,1358500.0,1358500.0,763250.0,1953750.0,2549000.0
Marpole,1.0,0.2705139765554554,658366.6666666666,675900.0,499900.0,739900.0,918800.0
Marpole,2.0,0.36068530207394045,1060899.9166666667,938500.0,782249.25,1359900.0,1739000.0
Marpole,3.0,0.24045686804929364,1784862.375,1709500.0,1521250.0,1940999.75,2599000.0
Marpole,4+,0.2705139765554554,2471211.111111111,2249900.0,1848000.0,2699000.0,4399000.0
Marpole,nan,0.09017132551848511,2342333.3333333335,1298000.0,1073500.0,3089000.0,4880000.0
Mount Pleasant,0.0,0.09017132551848511,535933.3333333334,524000.0,519400.0,546500.0,569000.0
Mount Pleasant,1.0,0.8115419296663661,788395.8518518518,749000.0,689000.0,797000.0,1999800.0
Mount Pleasant,2.0,0.8716561466786895,1385001.7586206896,1199888.0,958000.0,1695000.0,4279900.0
Mount Pleasant,3.0,0.2705139765554554,1467577.7777777778,1249000.0,649900.0,1775000.0,3949900.0
Mount Pleasant,4+,0.21039975954313195,1460398.2857142857,1725000.0,1120000.0,1849394.0,1960000.0
Mount Pleasant,nan,0.06011421701232341,799450.0,799450.0,784225.0,814675.0,829900.0
North Vancouver,1.0,0.4508566275924256,747979.1333333333,699900.0,599000.0,784499.5,1399000.0
North Vancouver,2.0,1.142170123234145,1084689.4736842106,1038900.0,836250.0,1199000.0,2190000.0
North Vancouver,3.0,0.39074241058010223,1484292.3076923077,1449000.0,998000.0,1899000.0,3388000.0
North Vancouver,4+,0.5710850616170725,2111152.5789473685,2080000.0,1514500.0,2498000.0,4158000.0
North Vancouver,nan,0.09017132551848511,1052333.3333333333,369000.0,234500.0,1528500.0,2688000.0
Oakridge,1.0,0.15028554253080853,810777.6,778888.0,699000.0,889000.0,1088000.0
Oakridge,2.0,0.09017132551848511,1731600.0,1858000.0,1653000.0,1873400.0,1888800.0
Oakridge,3.0,0.3306281935677788,3005354.4545454546,1998000.0,1669000.0,3594500.0,8688000.0
Oakridge,4+,0.2705139765554554,3013076.4444444445,3550000.0,1945000.0,3998000.0,4688888.0
Oakridge,nan,0.030057108506161705,799000.0,799000.0,799000.0,799000.0,799000.0
Renfrew-Collingwood,0.0,0.030057108506161705,449900.0,449900.0,449900.0,449900.0,449900.0
Renfrew-Collingwood,1.0,0.2705139765554554,748276.2222222222,549999.0,539000.0,628000.0,2200000.0
Renfrew-Collingwood,2.0,0.6612563871355576,871699.4545454546,803500.0,688500.0,886000.0,2388888.0
Renfrew-Collingwood,3.0,0.36068530207394045,1463899.0,1419500.0,984750.0,1686000.0,2650000.0
Renfrew-Collingwood,4+,0.5710850616170725,2413868.4210526315,1888800.0,1693900.0,3099450.0,4180000.0
Renfrew-Collingwood,nan,0.09017132551848511,2776000.0,2350000.0,2174000.0,3165000.0,3980000.0
Richmond,0.0,0.09017132551848511,1609266.6666666667,1038000.0,868900.0,2064000.0,3090000.0
Richmond,1.0,1.8935978358881875,733905.9523809524,635000.0,598400.0,699000.0,3580000.0
Richmond,2.0,3.997595431319507,907956.8496240601,793000.0,658000.0,950000.0,4860000.0
Richmond,3.0,2.4045686804929365,1438365.95,1284400.0,960500.0,1498250.0,4880000.0
Richmond,4+,2.8854824165915236,2289553.4895833335,1990000.0,1499749.25,2880000.0,9880000.0
Richmond,nan,0.7514277126540427,1033628.0,599000.0,149800.0,1238000.0,5600000.0
Riley Park,0.0,0.06011421701232341,2739450.0,2739450.0,2484675.0,2994225.0,3249000.0
Riley Park,1.0,0.12022843402464682,893450.0,749450.0,696725.0,946175.0,1385000.0
