Category,Date,CPI_Value
All-items,2015-03,119.8
Shelter,2015-03,114.0
All-items excluding food and energy,2015-03,113.9
All-items,2015-04,119.6
Shelter,2015-04,113.7
All-items excluding food and energy,2015-04,113.9
All-items,2015-05,120.6
Shelter,2015-05,114.0
All-items excluding food and energy,2015-05,114.4
All-items,2015-06,120.7
Shelter,2015-06,113.9
All-items excluding food and energy,2015-06,114.5
All-items,2015-07,120.8
Shelter,2015-07,113.9
All-items excluding food and energy,2015-07,114.5
All-items,2015-08,121.0
Shelter,2015-08,114.1
All-items excluding food and energy,2015-08,114.8
All-items,2015-09,121.0
Shelter,2015-09,114.0
All-items excluding food and energy,2015-09,115.2
All-items,2015-10,120.6
Shelter,2015-10,114.4
All-items excluding food and energy,2015-10,114.9
All-items,2015-11,120.8
Shelter,2015-11,114.5
All-items excluding food and energy,2015-11,114.6
All-items,2015-12,120.4
Shelter,2015-12,114.6
All-items excluding food and energy,2015-12,114.2
All-items,2016-01,120.7
Shelter,2016-01,114.4
All-items excluding food and energy,2016-01,114.6
All-items,2016-02,120.8
Shelter,2016-02,114.4
All-items excluding food and energy,2016-02,115.3
All-items,2016-03,121.8
Shelter,2016-03,114.7
All-items excluding food and energy,2016-03,116.2
All-items,2016-04,121.8
Shelter,2016-04,115.0
All-items excluding food and energy,2016-04,116.2
All-items,2016-05,122.7
Shelter,2016-05,115.3
All-items excluding food and energy,2016-05,117.0
All-items,2016-06,123.1
Shelter,2016-06,115.8
All-items excluding food and energy,2016-06,117.5
All-items,2016-07,123.3
Shelter,2016-07,115.7
All-items excluding food and energy,2016-07,117.6
All-items,2016-08,123.4
Shelter,2016-08,116.0
All-items excluding food and energy,2016-08,117.9
All-items,2016-09,123.2
Shelter,2016-09,115.9
All-items excluding food and energy,2016-09,117.8
All-items,2016-10,123.1
Shelter,2016-10,116.8
All-items excluding food and energy,2016-10,117.7
All-items,2016-11,122.7
Shelter,2016-11,117.1
All-items excluding food and energy,2016-11,117.3
All-items,2016-12,122.7
Shelter,2016-12,117.1
All-items excluding food and energy,2016-12,117.2
All-items,2017-01,123.5
Shelter,2017-01,117.1
All-items excluding food and energy,2017-01,117.7
All-items,2017-02,123.6
Shelter,2017-02,117.0
All-items excluding food and energy,2017-02,118.0
All-items,2017-03,124.2
Shelter,2017-03,117.2
All-items excluding food and energy,2017-03,118.5
All-items,2017-04,124.4
Shelter,2017-04,117.7
All-items excluding food and energy,2017-04,118.4
All-items,2017-05,125.0
Shelter,2017-05,117.8
All-items excluding food and energy,2017-05,119.1
All-items,2017-06,125.2
Shelter,2017-06,118.3
All-items excluding food and energy,2017-06,119.3
All-items,2017-07,125.6
Shelter,2017-07,118.7
All-items excluding food and energy,2017-07,119.8
All-items,2017-08,125.9
Shelter,2017-08,119.4
All-items excluding food and energy,2017-08,120.0
All-items,2017-09,125.7
Shelter,2017-09,119.5
All-items excluding food and energy,2017-09,119.7
All-items,2017-10,125.6
Shelter,2017-10,120.3
All-items excluding food and energy,2017-10,119.9
All-items,2017-11,125.9
Shelter,2017-11,120.6
All-items excluding food and energy,2017-11,119.8
All-items,2017-12,125.2
Shelter,2017-12,120.7
All-items excluding food and energy,2017-12,119.2
All-items,2018-01,126.1
