Address,Price,Price Type,Latitude,Longitude,Beds,Baths,Date
"1208 - 159 2nd Avenue, Vancouver","859,900",For Sale,49.2695849,-123.1080183,2,1,11 Mar 25
"62 Shoreline Circle, Port Moody","1,349,000",For Sale,49.2900915,-122.8763646,4,4,11 Mar 25
"119 - 5725 Agronomy Road, Vancouver","968,000",For Sale,49.2643613,-123.2399744,2,2,11 Mar 25
"6563 Broadway Street, Burnaby","7,851,000",For Sale,49.2621125,-122.96829,4,3,11 Mar 25
"6605 Broadway Street, Burnaby","6,669,000",For Sale,49.2620134,-122.9676052,5,4,11 Mar 25
"52 Beresford Avenue, Toronto","1,799,000",For Sale,43.6474122,-79.4759797,3,2,11 Mar 25
"1703 - 11967 80 Avenue, Delta","527,000",For Sale,49.1487941,-122.8916515,2,1,11 Mar 25
"1551 Hilson Heights, Milton","3,150",For Rent,43.4906944,-79.833799,3,3,11 Mar 25
"9 Liebeck Crescent, Markham","1,699,999",For Sale,43.8687794,-79.33330660000001,4,5,11 Mar 25
"214 Central Avenue, Saskatoon","365,000",For Sale,52.1301536,-106.5993297,5,3,11 Mar 25
"605 - 38 Gandhi Lane, Markham","588,800",For Sale,43.8405345,-79.39657729999999,1,1,11 Mar 25
"100 - 10 Almond Blossom Mews, Vaughan","888,000",For Sale,43.7882349,-79.5278198,3,3,11 Mar 25
"1806 - 505 Nelson Street, Coquitlam","950,000",For Sale,49.2494204,-122.8649479,2,2,11 Mar 25
"0 Elderberry Lane, Lasqueti Island","425,000",For Sale,49.4774109,-124.3261328,,,11 Mar 25
"482 Donald Street, Ottawa","679,900",For Sale,45.428224,-75.64662469999999,4,2,11 Mar 25
"1588 Charland Avenue, Coquitlam","170,000",For Sale,49.2479163,-122.8484242,4,1,11 Mar 25
"2213 Glengrove Crescent, Oakville","5,200",For Rent,43.4471948,-79.742837,4,4,11 Mar 25
"69 Davis Road, Aurora","1,500",For Rent,43.9824252,-79.4695126,1,1,11 Mar 25
"1 Pietrowski Drive, Georgina","1,499,888",For Sale,44.2467734,-79.4632305,4,6,11 Mar 25
"608 Dundas Street, London","799,000",For Sale,42.9891635,-81.2315528,,,11 Mar 25
"2488 Gatwick Avenue, Windsor","3,000",For Rent,42.3148906,-82.89280749999999,4,2,11 Mar 25
"3905 - 8 Cumberland Street, Toronto","748,800",For Sale,43.6710845,-79.38778730000001,1,1,11 Mar 25
"40 Max Becker Drive, Kitchener","2,699",For Rent,43.4055285,-80.5113658,3,3,11 Mar 25
"4595 66 Street, Beaumont","559,900",For Sale,53.34912749999999,-113.4364333,3,3,11 Mar 25
"2078 Liska Street, Ottawa","595,000",For Sale,45.4599394,-75.4811512,3,4,11 Mar 25
"703 Percifor Way, Ottawa","560,000",For Sale,45.43045,-75.52414,3,4,11 Mar 25
"91 Duke Street, Wallaceburg","399,999",For Sale,42.590527,-82.3745878,4,4,11 Mar 25
"1652 Davidson Grove, Edmonton","770,000",For Sale,53.3984691,-113.5506928,6,4,11 Mar 25
"17924 98a Avenue, Edmonton","498,800",For Sale,53.5350849,-113.630575,3,2,11 Mar 25
"5 Wake Robin Drive Drive, Kitchener","549,500",For Sale,43.4131973,-80.5175199,2,1,11 Mar 25
"48 Street, Calgary","1,080,000",For Sale,51.0814855,-114.1599727,,,11 Mar 25
"40 Max Becker Drive, Kitchener","2,699",For Rent,43.4055285,-80.5113658,1,2,11 Mar 25
"80 - 461 Blackburn Drive, Brant","639,000",For Sale,43.1104035,-80.308776,3,3,11 Mar 25
"Bsmt - 22 Hillcroft Drive, Markham","1,900",For Rent,43.8314397,-79.2810883,3,6,11 Mar 25
"617 - 220 Missinnihe Way, Mississauga","629,999",For Sale,43.5457321,-79.5901038,1,1,11 Mar 25
"2710 - 22 Olive Avenue, Toronto","549,000",For Sale,43.779164,-79.4145145,1,1,11 Mar 25
"7302 - 55 Cooper Street, Toronto","2,600",For Rent,43.64487880000001,-79.37205349999999,1,1,11 Mar 25
"8414 228a Street, Edmonton","649,900",For Sale,53.5189984,-113.7109122,1,1,11 Mar 25
"17812 110 Street, Edmonton","544,900",For Sale,53.6422946,-113.5147691,4,4,11 Mar 25
"13528 116b Avenue, Edmonton","439,000",For Sale,53.5687393,-113.5574287,3,2,11 Mar 25
"2601 - 805 Carling Avenue, Ottawa","450,000",For Sale,45.3979975,-75.7074751,1,1,11 Mar 25
"104 Frontenac Drive, Regina","424,900",For Sale,50.4096084,-104.6131956,4,1,11 Mar 25
"27 Sleeman Avenue, Guelph","749,900",For Sale,43.5367718,-80.2723388,3,2,11 Mar 25
"80 Esther Lorrie Drive, Toronto","599,999",For Sale,43.731918,-79.57693739999999,3,2,11 Mar 25
"2010 - 8 Avenue Avenue, Cold Lake","700,000",For Sale,54.463767,-110.189851,,,11 Mar 25
"37 Mcguiness Drive, Brantford","819,900",For Sale,43.1255011,-80.2968781,5,3,11 Mar 25
"215 Ridge Road, Cambridge","1,099,000",For Sale,43.4219893,-80.3397992,4,3,11 Mar 25
"199 Penn Drive, Burlington","2,199,000",For Sale,43.3452815,-79.7639323,5,4,11 Mar 25
"1214 #8 Highway, Stoney Creek","1,549,000",For Sale,43.2083293,-79.6561093,2,3,11 Mar 25
"B206 - 62 Balsam Street, Waterloo","2,250",For Rent,43.4764456,-80.5300104,1,2,11 Mar 25
"210 - 1 Victoria Street, Kitchener","659,000",For Sale,43.4525008,-80.4979091,,,11 Mar 25
"302 - 119 Lincoln Street, Welland","2,400",For Rent,42.9834516,-79.25657509999999,2,2,11 Mar 25
"101 - 119 Lincoln Street, Welland","2,400",For Rent,42.9834516,-79.25657509999999,2,2,11 Mar 25
"11754 Highway 15 High, Montague","549,900",For Sale,44.9464966,-76.03600019999999,3,1,11 Mar 25
"7 Hawthorn Avenue, Thorold","3,700",For Rent,43.11674,-79.22644,4,4,11 Mar 25
"41 Tollerton Avenue, Toronto","1,488,000",For Sale,43.789218,-79.3873596,5,4,11 Mar 25
"3 Dalrymple Drive, Waterdown","1,049,900",For Sale,43.32124659999999,-79.9103495,4,3,11 Mar 25
"1807 - 50 Kingsbridge Garden Circle, Mississauga","495,000",For Sale,43.6022304,-79.6498615,2,1,11 Mar 25
"16 Hillsdale Court, Dundas","799,900",For Sale,43.2570222,-79.9769738,3,2,11 Mar 25
"158 Wheat Lane, Kitchener","479,900",For Sale,43.37995000000001,-80.48109,2,2,11 Mar 25
"151 Ellen Street, Atwood","649,000",For Sale,43.6704757,-81.01525649999999,,,11 Mar 25
"1303 Maryhill Road, Maryhill","1,999,900",For Sale,43.5347154,-80.3906211,5,5,11 Mar 25
