Neighborhood,Beds_Category,Percentage,mean,median,q25,q75,q100
Arbutus Ridge,1.0,0.06199628022318661,758800.0,758800.0,758800.0,758800.0,758800.0
Arbutus Ridge,2.0,0.24798512089274644,1553750.0,1309000.0,1150500.0,1712250.0,2499000.0
Arbutus Ridge,3.0,0.06199628022318661,998000.0,998000.0,998000.0,998000.0,998000.0
Arbutus Ridge,4+,0.18598884066955984,4216600.0,3999800.0,3924900.0,4399900.0,4800000.0
Burnaby,0.0,0.06199628022318661,1150000.0,1150000.0,1150000.0,1150000.0,1150000.0
Burnaby,1.0,2.603843769373838,658261.9047619047,626500.0,572250.0,693750.0,1234900.0
Burnaby,2.0,4.897706137631743,985676.5696202532,829000.0,704450.0,1087450.0,3188800.0
Burnaby,3.0,1.735895846249225,1281692.7857142857,1028999.5,794100.0,1387475.0,3980000.0
Burnaby,4+,2.727836329820211,2445968.1363636362,2194950.0,1690000.0,2709750.0,7851000.0
Burnaby,nan,0.4339739615623063,1074685.7142857143,649000.0,283500.0,1324900.0,3568000.0
Downtown,0.0,0.3099814011159331,802600.0,689000.0,625000.0,849000.0,1225000.0
Downtown,1.0,2.2938623682579045,937720.972972973,699000.0,628000.0,839000.0,7590000.0
Downtown,2.0,2.5418474891506513,1341370.4390243902,1188000.0,869000.0,1698000.0,3750000.0
Downtown,3.0,0.9919404835709857,2026293.75,1622500.0,971750.0,2273000.0,5998000.0
Downtown,4+,0.24798512089274644,1749000.0,803500.0,606500.0,1946000.0,4790000.0
Downtown,nan,0.6199628022318662,1001190.0,598500.0,196225.0,1181250.0,4100000.0
Dunbar-Southlands,1.0,0.06199628022318661,988800.0,988800.0,988800.0,988800.0,988800.0
Dunbar-Southlands,2.0,0.18598884066955984,1829666.3333333333,1999000.0,1449499.5,2294500.0,2590000.0
Dunbar-Southlands,3.0,0.24798512089274644,2695500.0,2193000.0,1973000.0,2915500.0,4498000.0
Dunbar-Southlands,4+,0.49597024178549287,3413875.0,3398500.0,2842250.0,3759500.0,5698000.0
Fairview,1.0,0.3719776813391197,755983.3333333334,714000.0,696000.0,781500.0,929000.0
Fairview,2.0,0.805951642901426,1077046.1538461538,1072000.0,978800.0,1280000.0,1398000.0
Fairview,3.0,0.3719776813391197,1622000.0,1574000.0,1360750.0,1965750.0,2299000.0
Fairview,4+,0.06199628022318661,999999.0,999999.0,999999.0,999999.0,999999.0
