Neighborhood,Percentage,mean,median,q25,q50,q100
others,71.60570365778052,1520635.432034632,1048800.0,698000.0,1048800.0,31770000.0
Downtown,7.005579665220087,1266667.8230088495,869000.0,698000.0,869000.0,7590000.0
Renfrew-Collingwood,2.5418474891506513,1435038.3902439023,989900.0,719900.0,989900.0,4180000.0
Mount Pleasant,2.3558586484810915,1172659.3157894737,867400.0,751925.0,867400.0,4279900.0
West End,2.1078735275883447,1057938.205882353,777450.0,624425.0,777450.0,5334000.0
Fairview,1.6738995660260385,1088796.2592592593,998000.0,799400.0,998000.0,2299000.0
Kitsilano,1.4259144451332921,1611460.8260869565,1349000.0,874000.0,1349000.0,3488000.0
Kensington-Cedar Cottage,1.2399256044637323,1572208.4,1643950.0,1045925.0,1643950.0,3288880.0
Killarney,1.115933044017359,1164844.388888889,843500.0,752125.0,843500.0,3388000.0
Dunbar-Southlands,0.9919404835709857,2785674.9375,2494500.0,1973000.0,2494500.0,5698000.0
Kerrisdale,0.9919404835709857,3930064.3125,3739000.0,1799500.0,3739000.0,9388000.0
Marpole,0.9299442033477991,1522506.6,1479900.0,1013500.0,1479900.0,3280000.0
Grandview-Woodland,0.805951642901426,1198046.1538461538,1150000.0,599900.0,1150000.0,2199000.0
Sunset,0.7439553626782394,1963375.0,1956500.0,1728850.0,1956500.0,2599000.0
Oakridge,0.6819590824550528,3069880.6363636362,3990000.0,1458000.0,3990000.0,5998000.0
Riley Park,0.6819590824550528,1523953.4545454546,1588000.0,849950.0,1588000.0,3249000.0
Hastings-Sunrise,0.6199628022318662,1909087.4,1979500.0,1606241.0,1979500.0,3580000.0
Victoria-Fraserview,0.5579665220086795,1920888.888888889,1798000.0,1568000.0,1798000.0,3790000.0
West Point Grey,0.5579665220086795,3978666.6666666665,3275000.0,2298000.0,3275000.0,8880000.0
Arbutus Ridge,0.5579665220086795,2291288.888888889,1450000.0,1098000.0,1450000.0,4800000.0
South Cambie,0.3099814011159331,1916400.0,1399000.0,990000.0,1399000.0,3820000.0
Strathcona,0.3099814011159331,1327400.0,1235000.0,828000.0,1235000.0,2098000.0
Shaughnessy,0.18598884066955984,5113000.0,5360000.0,3479500.0,5360000.0,8380000.0
